"cat","type","name","book","page","desc","sum","aptitudemax","CP","credits","COG","COO","INT","REF","SAV","SOM","WIL","5toskill","5fromskill","Durability","WT","morphtype","skill1","skill1value","skill2","skill2value","Gear","Traits","energyarmor","kineticarmor","traits","sizemod"
"Morph","Uplift","Octomorph","EP",141,"These uplifted octopi sleeves have proven quite useful in zero-gravity environments. They retain eight arms, their chameleon ability to change skin color, ink sacs, and a sharp beak. They also have increased brain mass and longevity, can breathe both air and water, and lack a skeletal structure so they can squeeze through tight spaces. Octomorphs typically crawl along in zero gravity using their arm suckers and expelling air for propulsion and can even walk on two of their arms in low gravity. Their eyes have been enhanced with color vision, provide a 360-degree field of vision, and rotationally adjust to keep the slit-shaped pupil aligned with  up. A transgenic vocal system allows them to speak. ","Octomorphs typically crawl along in zerogravity using their arm suckers and expelling air for propulsion and can even walk on two of their arms in low gravity. ",30,50,30000,0,5,5,0,0,0,0,1,0,30,6,4,"Climbing",10,"Swimming",30,"Basic Biomods, Basic Mesh Inserts, Cortical Stack, Chameleon Skin, 360-Degree Vision, Extra Limbs, Polarization Vision","Limber (Level 2)",0,0,"Limber (Level 2)",
"Morph","Pod","Pleasure Pod","EP",142,"Pleasure pods are exactly what they seem, faux humans designed purely for intimate entertainment purposes. Pleasure pods have extra nerve clusters in their erogenous zones, fine motor control over certain muscle groups, enhanced pheromones, sanitized metabolisms, and the genetics for purring. Naturally, they are crafted for good looks and charisma and enhanced in other areas as well. Pleasure pods are capable of switching their sex at will to male, female, hermaphrodite, neuter, or other intersex variations.","Pleasure pods are exactly what they seem faux humans designed purely for intimate entertainment purposes they are capable of switching their sex at will.",30,20,5000,0,0,5,0,5,0,0,1,0,30,6,3,,,,,"Basic Biomods, Basic Mesh Inserts, Cortical Stack, Cyberbrain, Clean Metabolism, Enhanced Pheromones, Mnemonic Augmentation, Puppet Sock, Sex Switch","Social Stigma",0,0,"Social Stigma (Pleasure Pod)",
"Morph","Pod","Worker Pod","EP",142,"Part exalt human, part machine, these basic pods are virtually indistinguishable from humans. Worker pods are often used in menial labor jobs where interaction with humans is necessary.","Part exalt human, part machine, these basic pods are virtually indistinguishable from humans. ",30,20,5000,0,0,0,0,0,10,0,1,0,35,7,3,,,,,"Basic Biomods, Basic Mesh Inserts, Cortical Stack, Cyberbrain, Mnemonic Augmentation, Puppet Sock","Social Stigma",0,0,"Social Stigma (Pod)",
"Morph","Pod","Novacrab","EP",142,"Novacrabs are a pod design bioengineered from coconut crab and spider crab stock and grown to a larger (human) size. Novacrabs are ideal for hazardous work environments as well as vacworker, police, or bodyguard duties, given their ten 2-meter long legs, massive claws, and chitinous armor. They climb and handle microgravity well and can withstand a wide range of atmospheric pressure (and sudden pressure changes) from vacuum to deep sea. Novacrabs feature compound eyes (with human-equivalent image resolution), gills, dexterous manipulatory digits on their fifth set of limbs, and transgenic vocal cords. ","Novacrabs have ten 2 meter long legs, massive claws, and chitinous armor. They handle microgravity well and can withstand operation in a vacuum to the deep sea. ",30,60,20000,0,0,0,0,0,10,0,2,0,40,8,3,,,,,"Basic Biomods, Basic Mesh Inserts, Cortical Stack, Cyberbrain, Carapace Armor, Enhanced Respiration, Gills, Mnemonic Augmentation, Oxygen Reserve, Puppet Sock, Temperature Tolerance, Vacuum Sealing, Extra Limbs",,0,0,"Lemon, Social Stigma (Clanking Masses)",
"Morph","Synthetic Morph","Case","EP",143,"Cases are extremely cheap, mass-produced robotic shells intended to provide an affordable remorphing option for the millions of infugees created by the Fall. Though many varieties of case shells exist, they are uniformly regarded as shoddy and inferior. Most case morphs are vaguely anthropomorphic, with a thin framework body standing just shorter than an average human. They suffer from frequent malfunctions. ","Cases are massproduced robotic shells intended to provide an affordable remorphing option for the millions of infugees created by the Fall. ",20,5,1000,0,0,0,0,0,0,0,0,1,20,4,2,,,,,"Access Jacks, Basic Mesh Inserts, Cortical Stack, Cyberbrain, Mnemonic Augmentation, Walker","Lemon, Social Stigma",4,4,"Social Stigma (Clanking Masses), Uncanny Valley",
"Morph","Synthetic Morph","Synth","EP",143,"Synths are anthropomorphic robotic shells (androids and gynoids). They are typically used for menial labor jobs where pods are not as good of an option. Cheaper than many other morphs, they are commonly used for people who need a body quickly and cheaply or simply on a transient basis. Though they look humanoid, synths are easily recognizable as non-biological unless they have the synthetic mask option (p. 311).","Synths are anthromorphic robotic shells that are cheaper than most morphs, they are commonly used for people who need a morph quickly and cheaply. ",30,30,5000,0,0,0,0,0,5,0,1,0,40,8,2,,,,,"Access Jacks, Basic Mesh Inserts, Cortical Stack, Cyberbrain, Mnemonic Augmentation, Walker","Social Stigma, Uncanny Valley",6,6,,
"Morph","Synthetic Morph","Arachnoid","EP",143,"Arachnoid robotic shells are 1-meter in length, segmented into two parts, with a smaller head like a spider or termite. They feature four pairs of 1.5-meter-long retractable arms/legs, capable of rotating around the axis of the body, with built-in pneumatic systems for propelling the bot with small leaps. The manipulator claws on each arm/leg can be switched out with extendable mini-wheels for high-speed skating movement. A smaller pair of manipulator arms near the head allows for closer handling and tool use. In zero-g environments, arachnoids can retract their arms/legs and maneuver with vectored air thrusters.","Arachnoids feature four pairs of 1.5-meterlong retractable limbs with built-in pneumatic systems for propelling the bot with small leaps.",30,45,40000,0,5,0,0,0,10,0,0,0,40,8,2,,,,,"Access Jacks, Basic Mesh Inserts, Cortical Stack, Cyberbrain, Mnemonic Augmentation, Enhanced Vision, Extra Limbs, Lidar, Pneumatic Limbs, Radar, Walker,Wheeled, Thrust Vector",,8,8,,
"Morph","Synthetic Morph","Dragonfly","EP",144,"The dragonfly robotic morph takes the shape of a meter-long flexible shell with multiple wings and manipulator arms. Capable of near-silent turbofan-aided flight in Earth gravity, dragonfly bots fare even better in microgravity.","Dragonflies take the shape of a meter long flexible shell with multiple wings and manipulator arms. Capable of near-silent turbofan-aided flight in Earth gravity.",30,20,5000,0,0,0,5,0,0,0,0,0,25,5,2,,,,,"Access Jacks, Basic Mesh Inserts, Cortical Stack, Cyberbrain, Mnemonic Augmentation, Winged",,2,2,,-10
"Morph","Synthetic Morph","Flexbots","EP",144,"Designed for multipurpose functions, flexbots can transform their shells to suit a range of situations and tasks. Their core frame consists of a half-dozen interlocking and shape-adjustable modules capable of auto-transforming into a variety of shapes: multi-legged walker, tentacle, hovercraft, and many others. Each module features its own sensor units and  bush robot fractal-branching digits (capable of breaking into smaller digits, down to the micrometer scale, allowing for ultra-fine manipulation). The flexbot control computer is also distributed between modules. Individual flexbots are only the size of a large dog, but multiple flexbots can join together for larger mass operations, even taking on heavy-duty tasks such as demolition, excavation, manufacturing, robotics assembly, and so on.","Flexbots can transform their shells to suit a range of situations and tasks. They are fairly small, but multiple flexbots can join together for larger scale operations.",30,20,30000,0,0,0,0,0,0,0,0,0,25,5,2,,,,,"Access Jacks, Basic Mesh Inserts, Cortical Stack, Cyberbrain, Mnemonic Augmentation, Fractal Digits, Modular Design, Shape Adjusting, Walker, Hovercraft, Nanoscopic Vision",,4,4,,-10
"Morph","Synthetic Morph","Reaper","EP",144,"The reaper is a common combat bot, used in place of biomorph soldiers and typically operated via teleoperation or by autonomous AI. The reaper's core form is an armored disc, so that it can turn and present a thin profile to an enemy. It uses vector-thrust nozzles to maneuver in microgravity and also takes advantage of an ionic drive for fast movement over distance. Four legs/manipulating arms and four weapon pods are folded inside its frame. The reaper's shell is made of smart materials, allowing these limbs and weapon mounts to extrude in any direction desired and even to change shape and length. In gravity environments, the reaper walks or hops on two or four of these limbs. Reapers are infamous due to numerous war XPs, and bringing one into most habitats will undoubtedly raise eyebrows if not get you arrested.","The reaper is a common combat bot thatis infamous due to numerous war XPs, and bringing one into most habitats will undoubtedly raise eyebrows, if not get you arrested.",40,100,50000,0,5,0,10,0,10,0,0,0,50,10,2,,,,,"Access Jacks, Basic Mesh Inserts, Cortical Stack, Cyberbrain, Mnemonic Augmentation, 360-Degree Vision, Anti-Glare, Cyberclaws, Extra Limbs, Magnetic System, Pneumatic Limbs, Puppet Sock, Radar System, Reflex Booster, Shape Adjusting, Structural Enhancement, T-Ray Emitter, Weapon Mount (articulated), Walker, Hopper, Ionic, Vectored Thrust",,16,16,,
"Morph","Synthetic Morph","Slitheroid","EP",144,"Slitheroid bots are synthetic shells taking the form of a 2-meter-long segmented metallic snake, with two retractable arms for tool use. Snake bots can coil, twist, and roll their bodies into a ball or hoop, moving either by slithering, burrowing, rolling, or pulling themselves along by their arms. The sensor suite and control computer are housed in the head. ","Slitheroid bots are synthetic shells taking the form of a 2-meterlong segmented metallic snake, with two retractable arms for tool use. ",30,40,20000,0,5,0,0,0,5,0,1,0,45,9,2,,,,,"Access Jacks, Basic Mesh Inserts, Cortical Stack, Cyberbrain, Mnemonic Augmentation, Enhanced Vision",,8,8,,
"Morph","Synthetic Morph","Swarmanoid","EP",144,"The swarmanoid is not a single shell per se, but rather a swarm of hundreds of insect-sized robotic microdrones. Each individual  bug is capable of crawling, rolling, hopping several meters, or using nanocopter fan blades for airlift. The controlling computer, cortical stack, and sensor systems are distributed throughout the swarm. Though the swarm can  meld together into a roughly child-sized shape, the swarm is incapable of tackling physical tasks like grabbing, lifting, or holding as a unit. Individual bugs are quite capable of interfacing with electronics.","Swarmanoids are a swarm of hundreds of robotic microdrones with a controlling computer and sensor suite distributed throughout the swarm.",30,25,20000,0,0,0,0,0,0,0,0,0,30,6,2,,,,,"Access Jacks, Basic Mesh Inserts, Cortical Stack, Cyberbrain, Mnemonic Augmentation, Swarm Composition, Hopper, Rotorcraft, Walker",,0,0,,
"Morph","Infomorph","Infomorph","EP",145,"Infomorphs are digital-only forms,they lack a physical body. Infomorphs are sometimes carried by other characters instead of (or in addition to) a muse in a ghostrider module (p. 307). Full rules for infomorphs can be found on p. 265.","Infomorphs are digital only forms. Infomorphs are sometimes carried by other characters instead of a muse or in a ghostrider module.",40,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,"Mnemonic Augmentation",,0,0,,
"Morph","Biomorph","Lunar Flier","SW",162,"This morph is a version of the exalt morph that has been adapted to fly in Earth normal air pressure as long as the gravity is 0.2 g or less. Though this morph is available on other low-g worlds and habitats, it was developed for and is primarily found on Luna. This morph resembles a typical exalt morph, except that it is lightly built, has larger lungs, and has feathered wings with a wingspan of 3 meters. The wings come out of the back torso and leave the morph's hands and wrists unhindered. The wings may also be folded behind the body. ","Lunar Flyers resembles typical exalt morphs, except that they are lightly built, have larger lungs, and have feathered wings with a wingspan of 3 meters.",30,35,20000,5,5,0,0,0,0,0,2,0,30,6,1,,,,,"Basic Biomods, Basic Mesh Inserts, Clean Metabolism, Cortical Stack, Enhanced Vision, Wings",,0,0,,
"Morph","Biomorph","Martian Alpiner","SW",162,"Alpiners were a relatively common biomorph design on early frontier Mars, when temperatures and atmospheric pressure had not yet risen to present levels. Now they are found predominantly in the city of Olympus, where environmental conditions will always be incredibly harsh. Avid rock climbers and outdoor types also favor this morph, and in recent years it has enjoyed an unusual vogue among chic urbanites going for a rough-and-ready look without sleeving in the more de classe ruster morph. ","Alpiners were a relatively common biomorph design on early frontier Mars. Avid rock climbers and outdoor types also favor this morph.",25,30,20000,0,0,0,0,0,5,0,0,0,40,8,1,"Climbing",10,,,"Basic Biomods, Basic Mesh Inserts, Cortical Stack, Direction Sense, Grip Pads, Low Pressure Tolerance, Oxygen Reserve, Respirocytes, Temperature Cold Tolerance","Fast Metabolism, Planned Obsolescence",0,0,"Fast Metabolism, Planned Obsolescence ",
"Morph","Uplift","Neanderthal","SW",162,"This morph is based on fossilized Neanderthal DNA, uplifted and enhanced to transhuman equivalence. Neanderthal morphs look like muscular humans with a heavy bone structure, distinctively long skulls, heavy brow ridges, and weak chins. Pale complexions and red hair are common features. ","Neanderthal morphs look like muscular humans with a heavy bone structure, distinctively long skulls, heavy brow ridges, and weak chins.",30,40,20000,5,0,5,0,0,10,0,1,0,40,8,4,,,,,"Basic Biomods, Basic Mesh Inserts, Cortical Stack",,0,0,,
"Morph","Biomorph","Salamander","SW",163,"Salamanders are a type of biomorph popular with Solarians. They share some of the physiological traits of suryas, but are unable to survive unprotected in the corona (requiring a solar survival suit, like other biomorphs), and are instead bio-engineered to survive in the protected vacuum of coronal habitats. Their skin is thick, hairless, vaguely reptilian, and mostly black in color, with gold and orange body patterning. Like suryas, salamanders communicate either via wireless transmissions or by  sunspotting,using their chromatophores to shift light and dark patterns on their skin to form patterns easily comprehensible to other coronal morphs. Salamanders have a wiry, streamlined, swept-back sort of look, a combination of fey and monkey-like. Their heads are also somewhat reptilian, with reflective eyes, no nose, and no mouth. Their feet are prehensile, usable just like hands. They lack reproductive organs and capabilities and feature cyberware gas jets on their chest and back for maneuvering in zero g. Many Solarians who normally inhabit suryas will sleeve into salamanders if they need to use humanoid tools or interact with non-Solarians. ","Salamanders  are instead bio-engineered to survive in the protected vacuum of coronal habitats they have a wiry, streamlined, swept-back sort of look. ",30,40,20000,0,5,5,0,0,0,0,1,0,60,12,1,,,,,"Basic Biomods, Basic Mesh Inserts, Cortical Stack, Chameleon Skin, Enhanced Vision, Gas Jet System, Medichines, Oxygen Reserve, Prehensile Feet, Vacuum Sealing","Limber (Level 1), Coronal Adaptation",0,0,"Coronal Adaptation, Limber (Level 1)",
"Morph","Biomorph","Surya","SW",164,"Named for a Hindu sun deity, suryas swim freely in the sun's corona. Looking roughly like whales or orcas, suryas may reach lengths of ten meters or more. They generate powerful magnetic fields that shield them from solar radiation and heat, while allowing them to surf the solar wind and extract ionized particles. Strong bones and connective tissues protect against the crushing solar gravity. Beneath their thick hides are channels of liquid water interleaved with layers of fat which serve to shield the organism from harmful radiation. Engineered medichines repair tissue damaged by radiation and convert hydrogen ions into water. A surya's skin is an extraordinary organ, embedded with chromatophores that allow them to transmit alternating patterns of light and dark for communication. In addition, a lateral line runs down their sides, allowing them to detect the long-period sound waves that reflect off the sun's lower atmosphere and resonate through the corona's gas and plasma. Suryas traveling through the transition zone between the corona and the chromosphere use these vibrations to predict and avoid heavy solar weather.","Suryas swim freely in the sun's corona. Looking roughly like whales or orcas, suryas may reach lengths of ten meters or more. ",30,50,30000,0,10,0,5,0,5,0,0,0,100,20,1,"Free Fall",10,,,"Basic Biomods, Basic Mesh Inserts, Chameleon Skin, Cortical Stack, Enhanced Hearing, Enhanced Vision, Lateral Line, Medichines, Vacuum Sealing","Coronal Adaptation",0,0,,
"Morph","Biomorph","Venusian Glider","SW",164,"The glider is designed to survive for many hours in Venus's unbreathable atmosphere. Tall and thin, with long, strong limbs and a lightweight build, this morph also features gliding membranes (p. 166) that allow it to soar through the upper Venusian atmosphere. It can even gain altitude by riding thermals (which it can see using its enhanced vision). Once Venusian terraforming efforts are complete, an upgraded version of this morph will be able to breathe normally.","Venusan glider is designed to survive for hours in Venus's unbreathable atmosphere. Tall and thin, with long, strong limbs and a lightweight build.",30,40,20000,0,0,0,5,0,5,0,2,0,30,6,1,,,,,"Basic Biomods, Basic Mesh Inserts, Cortical Stack, Enhanced Respiration, Enhanced Vision, Gliding Membranes, Grip Pads, Prehensile Feet, Respirocytes","Limber (Level 1)",0,0,"Limber (Level 1) ",
"Morph","Synthetic Morph","Q-Morph","SW",163,"Quartz morphs, commonly called Q-morphs, are the primary shell design used for Venusian surface mining. Constructed from quartz and extremely durable alloys, Q-morphs look like four-legged crabs with two pairs of arms. The lower pair of arms is designed for strength, the upper pair for precision and dexterity. This morph is squat, exceptionally tough, and completely unable to function in temperatures below 250 C. ","Q-morphs look like four-legged crabs with two pairs of arms. The lower pair of arms is designed for strength, the upper pair for precision and dexterity.",30,100,60000,0,15,0,0,0,10,0,1,0,120,24,2,,,,,"Access Jacks, Basic Mesh Inserts, Cortical Stack, Cyberbrain, Cyberclaws, Direction Sense, Echolocation, Enhanced Vision, Extreme Heat Shielding, Extra Limbs, Extreme Pressure Adaptation, Mnemonic Augmentation, Radar, T-Ray Emitter, Wrist-Mounted Tools, Walker",,18,18,,
"Morph","Synthetic Morph","Steel","SW",163,"This morph was developed by technicians and designers who are members of the Lunar synthmorph rights movement, the Steel Liberators. Middle-class Lunars who came out of poverty and continue to actively support the Steel Liberators sometimes choose this morph, despite the fact that this choice often results in them experiencing significant prejudice from biochauvinists. ","Steel Morphs are a lunar alternative to the common synthmorph.",30,50,30000,5,0,0,0,0,10,0,2,0,40,8,2,,,,,"Access Jacks, Basic Mesh Inserts, Cortical Stack, Cyberbrain, Eidectic Memory, Mnemonic Augmentation, Walker","Social Stigma, Uncanny Valley",8,8,"Social Stigma (Clanking Masses), Uncanny Valley",
"Morph","Synthetic Morph","Masked Steel","SW",163,"This version of the steel morph is equipped with the synthetic mask enhancement, making the shell look like a human biomorph. This version is uncommon, as most Steel Liberators view biological masking as a form of  selling out. It is used both by Lunars who are stuck sleeving into a synthmorph, but whom don't want to suffer discrimination, and by Steel Liberator activists looking to infiltrate biochauvinists and other opponent groups. Use the same stats as the steel morph, with a few changes.","The Masked Steel Morph is equipped with the synthetic mask enhancement, making the shell look like a human biomorph. ",30,55,30000,5,0,0,0,0,10,0,2,0,40,8,2,,,,,"Access Jacks, Basic Mesh Inserts, Cortical Stack, Cyberbrain, Eidectic Memory, Mnemonic Augmentation, Synthetic Mask, Walker",,8,8,,
"Morph","Synthetic Morph","Liquid Steel","SW",163,"Designed as a top-end version of the steel morph, this shell's entire outer covering is composed of active nanomachines. A number of synthmorph performers use this shell's shape- and color-altering capacities as part of their acts. However, the fact that this morph can disguise itself as any other humanoid synthmorph, including the ubiquitous case morph, means that a number of covert operatives and criminals also make use of this morph. This version of the steel morph cannot use a synthetic mask. ","The Liquid Steel Morph was designed with an outer covering is composed of active nanomachines that allow this morph to disguise itself as any other humanoid synthmorph.",30,70,40000,5,0,0,0,0,10,0,3,0,40,8,2,,,,,"Access Jacks, Basic Mesh Inserts, Cortical Stack, Cyberbrain, Eidectic Memory, Mnemonic Augmentation, Shape Adjusting, Skinflex, Wrist-Mounted Tools, Walker","Social Stigma, Uncanny Valley",8,8,"Social Stigma (Clanking Masses), Uncanny Valley",
