"cat","type","name","book","page","desc","sum","cost","ea","ka","vac","nopenalty","nostack"
"Armor","Vehicle","Exowalker ","EP","344","Exowalkers are minimal framework exoskeletons, primarily designed to bolster the wearer’s strength and movement. They provide a an Armor Value of 2/4, a +10 modifier to strength-based tests, and double the distance by which the character may jump.",,"Moderate","2","4",,,
"Armor","Armor","Hardsuit","EP","334","These powered exoskeletons are larger (roughly twice human-sized) and built for heavy-use industrial purposes, such as handling heavy/large objects. The wearer is partially encapsulated to protect them from debris and industrial accidents. Hyperdense exoskeletons provide no movement bonus, but provide a +30 bonus to strength-based tests and inflict an extra +3d10 damage and –5 AP on physical attacks. They have an Armor Value of 6/12.",,"Expensive",15,"15",1,,
"Armor","Helmet","Helmet (Light)","EP","312","This armor accessory is usually worn with body armor. Light helmets are open, whereas full helmets latch on and provide an environmental seal with a 12 hour supply of air. Light helmets provide an Armor Value bonus of +2/+2, whereas full helmets add +3/+3. Helmets are often equipped with an ecto (p. 325), a radio booster (p. 314), and sensors equal to specs (p. 326).",,"Trivial","2",2,,1,
"Armor","Helmet","Helmet (Full)","EP","312","This armor accessory is usually worn with body armor. Light helmets are open, whereas full helmets latch on and provide an environmental seal with a 12 hour supply of air. Light helmets provide an Armor Value bonus of +2/+2, whereas full helmets add +3/+3. Helmets are often equipped with an ecto (p. 325), a radio booster (p. 314), and sensors equal to specs (p. 326). ",,"Trivial","3",3,,1,
"Armor","Vehicle","Hyperdense Exoskeleton ","EP","344","These powered exoskel­etons are larger (roughly twice human-sized) and built for heavy-use industrial purposes, such as handling heavy/large objects. The wearer is partially encapsulated to protect them from debris and industrial accidents. Hyperdense exoskeletons provide no movement bonus, but provide a +30 bonus to strength-based tests and inflict an extra +3d10 damage and –5 AP on physical attacks. They have an Armor Value of 6/12.",,"Expensive","6","12",,,
"Armor","Shield","Riot Shield","EP","312","Used for mob suppression, riots shields are light-weight, tough, and may be set to electrify on command, stunning anyone who comes into contact with the outer surface (treat as a see shock attack, p. 204). Riot shields provide an Armor Value bonus of +3/+2.",,"Low","3",2,,1,
"Armor","Armor","Second Skin ","EP","312","This lightweight bodysuit, woven from spider silks and fullerenes, is typically worn as an underlayer, though some athletes use it as a uniform. It provides minimal protection, but may be worn with other armor without penalty. It provides an Armor Value of 1/3.",,"Low","1","3",,1,
"Armor","Armor","Smart Skin ","EP","312","Smart skin is an advanced nanofluid that covers the wearer’s skin. It resembles liquid mercury but retains the texture and flexibility of normal skin until activated, at which point the material becomes rigid enough to protect the wearer and distribute the kinetic energy (though still flexible enough at the joints not to impede movement). A specialized hive, worn by the character, replenishes the nanobots and stores them when not in use. Deploying the nanobots across the body takes a full Action Turn. Smart skin has an Armor Value of 3/2, and may be worn with other armor without penalty.",,"Low","3","2",,1,
"Armor","Armor","Smart Vac Clothing ","EP","325","Like regular smart clothing, this outfit can also transform into a light vacsuit (p. 333). It also functions as armor, rating 2/4.",,"Moderate","2","4",1,,
"Armor","Armor","Smart Vacsuit (Light) ","EP","333","Everyone living in a sealed habitat owns at least one of these suits. They come in a variety of forms. Inexpensive versions are typically lightweight jumpsuits made of simple smart fabric that adjusts to fit and folds up small enough to fit into a coat pocket. The best models include suits of high-end smart clothing that can transform into a vacsuit and an advanced nanotech generator the size of a large orange that deploy nanobots that cover the user and fit together into a vacuum suit. Both can transform into a vacsuit in 2 full Action Turns and do so either on command or if their sensors reveal that life support is needed. All models include a lightweight belt or torc containing a miniature oxygen tank and advanced rebreather unit that provides 3 hours of air. However, the suits contain no food or water recycling. All models include an ecto (p. 325) and a headlight, but typically little else beyond atmosphere sensors to let the wearer know when it is safe to take off the suit. They protect the wearer from temperatures from –75 to 100 C. These vacuum suits also provide an Armor rating of 5/5 and instantly self-seal breaches unless more than 20 points of damage are inflicted at once.",,"Moderate","5","5",1,,
"Armor","Armor","Smart Vacsuit (Standard) ","EP","333","These suits resemble light vacsuits made from thicker and more durable materials that resist tearing and provides the wearer with light armor. They are fitted with more substantial life support belts that includes a maker (p. 328) capable of recycling all wastes and producing air for up to 48 hours and food and water indefinitely. The best suits are made of smart materials that can transform from standard clothing to vacuum suits in a single Action Turn, and will do so automatically if life support is needed. Each suit also contains an ecto (p. 325), a radio booster (p. 314), and sensors equal to specs (p. 326). These suits have an Armor rating of 7/7 and protect the wearer from temperatures from –175 to 140 C. They can almost instantly seal any hole unless more than 30 points of damage are inflicted at once.",,"High","7","7",1,,
"Armor","Armor","Spray Armor ","EP","312","This fast armor application comes in a spray can and disperses a smart chemical polymer that sticks to bare flesh (but does not adhere to hair and eyes). The polymer solidifies into a form fitting body armor fabric when exposed to body temperature with the look and feel of a latex suit. Spray armor does not work on synthetic morphs or on clothing or other armor. The color and feel of the armor can be adjusted with electric currents and additional polymers, making it popular among some socialite and nightlife scenes. The spray-on armor does not wash off, but degrades 1 point of armor (both energy and kinetic) every 12 hours. It may be removed with a special nanotech solvent. Spray armor has an Armor Value of 2/2.",,"Low","2","2",,,
"Armor","Armor","Synthmorph Industrial Armor","EP","310","The shell is equipped with protection against collisions, extreme weather, industrial accidents, and similar wear-and-tear. Increase the bot’s built-in Armor rating to 10/10.",,"Moderate",10,"10",,,
"Armor","Armor","Synthmorph Combat Armor (Light)","EP","310","The synthmorph’s frame is protected by armor designed for policing and security duties. This increases the bot’s built-in Armor to 14/12.",,"Low",14,"12",,,
"Armor","Armor","Synthmorph Combat Armor (Heavy)","EP","310","The synthmorph’s frame is loaded with armor that offers protection from heavy weapons for serious combat operations. This modification is bulky and noticeable; the bot frame is encased in a heavy-duty carapace. It increases the bot’s built-in Armor to 16/16. The shell’s mobility systems and power output are also enhanced to deal with the extra load.",,"Moderate",16,"16",,,
"Armor","Vehicle","Transporter Exoskeleton ","EP","344","This exoskeleton framework includes a pair of vector-thrust turbofan engines, giving the user flight capabilities in gravity and increased maneuverability in zero g. It provides partial protection to the wearer with an Armor Value of 2/4. Piloted with Pilot: Aircraft skill.",,"High","2","4",,,
"Armor","Vehicle","Trike Exoskeleton ","EP","344","The trike exoskeleton is a three-wheeled personal motorcycle design, rather than a walker. It provides partial protection to the wearer with an Armor Value of 2/4. Piloted with Pilot: Groundrcraft skill.",,"Moderate","2","4",,,
"Armor","Armor","Vacsuit (Light) ","EP","333","Everyone living in a sealed habitat owns at least one of these suits. They come in a variety of forms. Inexpensive versions are typically lightweight jumpsuits made of simple smart fabric that adjusts to fit and folds up small enough to fit into a coat pocket. The best models include suits of high-end smart clothing that can transform into a vacsuit and an advanced nanotech generator the size of a large orange that deploy nanobots that cover the user and fit together into a vacuum suit. Both can transform into a vacsuit in 2 full Action Turns and do so either on command or if their sensors reveal that life support is needed. All models include a lightweight belt or torc containing a miniature oxygen tank and advanced rebreather unit that provides 3 hours of air. However, the suits contain no food or water recycling. All models include an ecto (p. 325) and a headlight, but typically little else beyond atmosphere sensors to let the wearer know when it is safe to take off the suit. They protect the wearer from temperatures from –75 to 100 C. These vacuum suits also provide an Armor rating of 5/5 and instantly self-seal breaches unless more than 20 points of damage are inflicted at once.",,"Low","5","5",1,,
"Armor","Armor","Vacsuit (Standard) ","EP","333","These suits resemble light vacsuits made from thicker and more durable materials that resist tearing and provides the wearer with light armor. They are fitted with more substantial life support belts that includes a maker (p. 328) capable of recycling all wastes and producing air for up to 48 hours and food and water indefinitely. The best suits are made of smart materials that can transform from standard clothing to vacuum suits in a single Action Turn, and will do so automatically if life support is needed. Each suit also contains an ecto (p. 325), a radio booster (p. 314), and sensors equal to specs (p. 326). These suits have an Armor rating of 7/7 and protect the wearer from temperatures from –175 to 140 C. They can almost instantly seal any hole unless more than 30 points of damage are inflicted at once.",,"Moderate","7","7",1,,
