"cat","type","name","book","page","desc","sum","cp1","cp2","cp3","morphtype","morphallowed"
"Trait","Ego Trait","Pain Tolerance","EP",146,"The character has a high threshold for pain toler­ance and is better at ignoring the effects of pain on their abilities and concentration. Level 1 allows them to ignore the –10 modifier from 1 wound. Level 2 allows them to ignore the –10 modifiers from 2 wounds. This trait is only available for biomorphs. ","Ignore -10 modifier from 1 wound per level. Only for biomorphs. ",10,20,,1,
"Trait","Ego Trait","Patron","EP",146,"The character has an influential person in their life who can be relied on for occasional support. This could be a wealthy hyperelite family member, a high-ranking triad boss, or an anarchist networker with an unbeatable reputation. When called upon, this patron can pull strings on the character’s behalf, supply resources, introduce them to people they need to know, and bail them out of trouble. The player and gamemaster should work together to define exactly who this NPC is and what their relationship with the player character is. Specifically, the question of why this patron is supporting the character should be answered (familial obligation? childhood buddies? the character saved their life once?). Gamemasters should be careful that this trait does not get abused. The patron should be an occasional help (probably no more than once per game session at most) but is not always at the character’s beck-and-call. If the character asks for too much, too often, they should find the patron’s support drying up. Additionally, the character may need to take action to maintain the relationship, such as undertaking a mission on the patron’s behalf. In fact, the character may only have their patronage because they are on-call or of use to the NPC in some way. ","The character has an influential person in their life who can be relied on for occasional support.",30,,,,
"Trait","Ego Trait","Psi","EP",147,"The character has been infected with the Watts- MacLeod strain of the exsurgent virus, which altered their brain structure and opened the potential for their mind to enhance their cognitive abilities and read and manipulate the biological minds of others (see Psi, p. 220). The character may purchase and learn (see Psi-Chi Sleights, p. 223). At Level 1, the character may only use psi-chi sleights. At Level 2, the character may use both psi-chi and psi-gamma sleights. Though this trait is not very expensive, gamemas­ters should not allow it to be abused. There are a number of negative side effects to Watts-MacLeod infection, noted under Psi Drawbacks, p. 220. ","At Level 1, the character can use psi-chi sleights. At Level 2, the character can use both psi-chi and psi-gamma sleights (see Psi-Chi Sleights, p. 223).",20,25,,,
"Trait","Ego Trait","Psi Chameleon","EP",147,"The character’s mental state is naturally resistant to psi sensing. Apply a –10 modifier to any attempts to locate or detect the character via psi sleights. ","–10 modifier to to locate or detect the character via psi sleights.",10,,,,
"Trait","Ego Trait","Psi Defense","EP",147,"The character’s mind is inherently resistant to mental attacks. At Level 1, apply a +10 modifier to all defense tests made against psi attacks. At Level 2, apply a +20 modifier. ","+10 modifier per level to all defense tests made against psi attacks. ",10,20,,,
"Trait","Ego Trait","Right At Home","EP",147,"The character chooses one type of morph (splicer, neo-hominid, case, etc.). The character always feels right at home in morphs of this type. When resleeving into this type of morph, the character automatically adjusts to the new body, no Integration or Alienation Test needed, suffering no penalties and no mental stress. ","For a chosen morph type, no Integration or Alienation Test needed, suffering no penalties and no mental stress. ",10,,,,
"Trait","Ego Trait","Second Skin","EP",147,"If your character background or faction enforces a restriction on your starting morph (for example, uplifts must start with an uplift morph), this trait allows you to ignore that restriction and purchase a starting morph of your choice. ","Ignore background or faction starting-morph restriction.",15,,,,
"Trait","Ego Trait","Situational Awareness","EP",148,"The character is very good at maintaining continuous partial awareness of the goings-on in their immediate environment. In game terms, they do not suffer the Distracted modifier on Perception Tests to notice things even when their attention is focused elsewhere or when making Quick Perception Tests during combat. ","Do not suffer the Distracted modifier on Perception Tests to notice things when distracted or making Quick Perception Tests during combat. ",10,,,,
"Trait","Ego Trait","Social Butterfly","PO",145,"This character is a promiscuous abuser of online social networks. Because they go out of their way to make new connections and interact with people, they find it slightly easier to get what they need. Apply a +10 modifier to Networking Tests."," +10 modifier to Networking Tests.",15,,,,
"Trait","Ego Trait","You're That Guy!","PO",145,"Sometime in the past, this character got their 5 minutes of mesh fame in a funny viral meme that swept the solar system. To this day, strangers who access the character’s social profile are likely to connect them to that meme. Though tedious for the character, there is a positive side effect, as these strangers remember the meme fondly and are more likely to help the character out. Once per game session, the gamemaster may decide that a stranger with whom the character is interacting and who has access to the character’s online public profile recognizes the character. The character receives a one-time +20 bonus to any social skill or Networking Test with that stranger.","Once per game session, the gamemaster may give player a one-time +20 bonus to any social skill or Networking Test with a stranger.",10,,,,
"Trait","Ego Trait","Zoosemiotics","EP",148,"A character with this trait and the Psi trait does not suffer a modifier when using psi sleights on non-sapient or partly sapient animal species. ","A character with the Psi trait does not suffer a modifier when using sleights on non or partly sapient animal species. ",5,,,,
"Trait","Ego Trait","Addiction","EP",148,"Addiction comes in two forms: mental (affecting the ego) and physical (affecting the biomorph). The character or morph is addicted to a drug (p. 317), stimulus (XP), or activity (mesh use) to a degree that impacts the character’s physical or mental health. Players and gamemasters should work together to agree on addictions that are appropriate for their game. Addiction comes in three levels of severity: minor, moderate, or major: Minor: A minor addiction is largely kept under control—it does not ruin the character’s life, though it may create some difficulties. The character may not even recognize or admit they have a problem. The character must indulge the addiction at least once a week, though they can go for longer without too much difficulty. If they fail to get their weekly dose, they suffer a –10 modifier on all actions until they get their fix. Moderate: A moderate addiction is in full swing. The character obviously has a problem, and must satisfy the addiction at least once a day. If they fail to do so, they may suffer mood swings, compulsive behavior, physical sickness, or other side effects until they indulge their craving. Apply a –20 modifier to all of the character’s actions until they get their fix. Additionally, a character with this level of addiction suffers a penalty of –5 DUR (physical addiction) or –10 to Willpower Stress Tests (mental addiction). Major: A character with a major addiction is on the rapid road to ruin. They face cravings every 6 hours and suffer a penalty of –10 DUR (physical addiction) or –20 to Willpower Stress Tests (mental addiction). If they fail to get their regular dosage, they suffer a –30 modifier on all actions until they do. If their life hasn’t already been ruined by their obsession, it soon will be. ","Addicted to specific substance and needs a fix or suffers penalties. Severity depends on addiction level.",-10,-20,-30,,
"Trait","Ego Trait","Bad Luck","EP",148,"Due to some inexplicable cosmic coincidence, things seem to go wrong around the character. The gamemaster is given a pool of Moxie points equal to the character’s Moxie stat, which also refreshes at the same rate as the character’s Moxie. Only the gamemaster may utilize this Moxie, however, and the purpose is to use it against the character. In other words, the gamemaster can use this bad Moxie to cause the character to automatically fail, flip-flop a roll, and so on. To reflect the black cloud that follows the character, the gamemaster can even use this bad Moxie against the character’s friends and allies, when they are doing something with or related to the character, though this should be used sparingly. Gamemasters who might be reluctant to sabotage the character should remember that the player asked for it by purchasing this trait.","The game master has a pool of moxie to use against the character.",-30,,,,
"Trait","Ego Trait","Blacklisted","EP",149,"The character has managed to get themselves blacklisted in certain circles, whether they actually did something to deserve it or not. In game terms, the character is barred from having a Rep score higher than 0 in one particular reputation network. People within that network will refuse to help the character out of fear of reprisals and ruining their own reputa­tion. The bonus for this trait is 20 CP if chosen for the rep network pertaining to the character’s own starting faction, and 5 CP if chosen for any other.","No one in a specific network will help the character. Lvl2 if same as faction starting network.",-5,-20,,,
"Trait","Ego Trait","Black Mark","EP",149,"At some point in the character’s past, they managed to do something that earned a black mark on their reputation. For some reason, no matter what they do, this black mark cannot be shaken off and continues to haunt their interactions. In game terms, the character picks one faction. Every time they interact with this faction (such as a Networking Test) or with an NPC from this faction (Social Skill Tests) who knows the character, they suffer a –10 modifier per level.","–10/level on all interactions with a particular faction",-10,-20,-30,,
"Trait","Ego Trait","Combat Paralysis","EP",149,"The character has an unfortunate habit of freezing in combat or stressful situations, like a deer caught in headlights. Anytime violence breaks out around the character or they are surprised, the character must make a Willpower Test in order to act or respond in any way. If they fail the test, they lose their action and simply stand there, remaining incapable of reacting to the situation. ","Anytime character is around violence or is surprised, they must make a Willpower Test to act or respond in any way.",-20,,,,
"Trait","Ego Trait","Data Footprint","PO",145,"The character is particularly sloppy about keeping a lid on their daily living, online, and social networking interactions, leaving a larger data footprint than usual in the public eye. Apply a +10 modifier to any Research Tests to gather information on the character or track them online (see Scanning, Tracking, and Monitoring, p. 251, EP) and any Networking Tests to ascertain the character’s networking interactions (see Keeping It Quiet, p. 288, EP).","+10 Research Tests to gather information on or track character online ( p. 251, EP) and Networking Tests to track character’s networking interactions (see, p. 288, EP).",-10,,,,
"Trait","Ego Trait","Edited Memories","EP",149,"At some point in the character’s past, the character had certain memories strategically removed or otherwise lost to them. This may have been done to intentionally forget an unpleasant or shameful experience or to make a break with the past. The memory may also have been lost by an unexpected death (with no recent backup), or it may have been erased against the character’s will. Whatever the case, the memory should bear some importance, and there should exist either evidence of what happened or NPCs who know the full story. This is a tool the gamemaster can use to haunt the character at some future point with ghosts from their past.","At some point in the character’s past, the character had certain memories strategically removed or otherwise lost to them.",-10,,,,
"Trait","Ego Trait","Enemy","EP",149,"At some point in their past, the character made an enemy for life who continues to haunt them. The gamemaster and player should work out the details on this enmity, and the gamemaster should use the enemy as an occasional threat, surprise, and hindrance.","At some point in their past, the character made an enemy for life who continues to haunt them.",-10,,,,
"Trait","Ego Trait","Feeble","EP",149,"The character is particularly weak with one aptitude. That aptitude must be purchased at a rating lower than 5 and may never be upgraded during character advancement. The aptitude maximum is 10, no matter what morph the character is wearing.","One aptitude has a maximum of 10, no matter what morph the character is wearing.",-20,,,,
"Trait","Ego Trait","Identity Crisis","EP",149,"The character’s ego has trouble adapting itself to the changed look of a new morph—they are stuck with the mental image of their original body and simply do not grow accustomed to their new face(s). As a result, the character has difficulty identifying themselves in the mirror, photos, surveillance feeds, etc. They frequently forget the look and shape of their current morph, acting inappropriately, describing themselves by their original body, forgetting to duck when walking through doorways, etc. This is primarily a roleplaying trait, but the gamemaster may apply appropriate modifiers (usually –10) to tests affected by this inability to adapt. ","The character’s ego has trouble adapting itself to the changed look of a new morph. GM may apply penalties.",-10,,,,
"Trait","Ego Trait","Illiterate","EP",149,"The character knows how to speak but has difficulty reading or writing. Due to the entoptic-saturated and icon-driven nature of transhuman society, they are able to get by quite comfortably with this handicap. Reduce the character’s Language skills by half (round down) whenever reading or writing. ","Reduce the character’s Language skills by half (round down) whenever reading or writing.",-10,,,,
"Trait","Ego Trait","Immortality Blues","EP",149,"The character has lived so long—over 100 years— they’re bored with life and now have difficulty motivating themselves. They were old when longevity treatments first became available, survived the Fall, and continue to soldier onward—though they find it increasingly harder to care, take interest in things around them, or fear final death. The character only receives half the Moxie and Rez Points award for completing motivational goals. This trait may not be purchased by characters with the infolife or uplift backgrounds. ","The character only receives half the Moxie and Rez Points award for completing motivational goals. Not for characters with the infolife or uplift backgrounds.",-10,,,,
"Trait","Ego Trait","Impaired Balance","PO",145,"This trait is only available to neo-pigs. This uplift’s brain has not been fully adapted to the neo-pig’s bipedal stance and still suffers occasional difficulties with balance. The character suffers a ?10 modifier per level to any Climbing, Freerunning, or similar test involving balance or upright movement.","?10 modifier per level to any Climbing, Freerunning, or similar test involving balance or upright movement. Only for Neo-Pigs.",-10,-20,-30,4,"Neo-Pig"
"Trait","Ego Trait","Impaired Linguistics","PO",147,"This trait is only available to uplifts. This uplift’s particular brain structure has difficulty processing language. At Level 1, the uplift loses some of their ability to speak, read, and comprehend things spoken by others when they suffer from stress. Each time the uplift suffers a trauma, they must make a Language Test at ?10 to speak (both verbal and via mesh inserts) or comprehend (reading or listening) anything above the most basic words and information. This test only needs to be made once for each language, but for each additional trauma suffered, the test must be made again, with an additional cumulative ?10 modifier. If the uplift loses their language abilities, they will recover them when that particular trauma is healed. In the meantime, they can only convey and understand basic, one-word, one-syllable concepts, such as “eat” or “run.” At Level 2, the uplift’s language centers are permanently hobbled. Their free natural Language skill at character creation is 40 + INT, and no Language skill may be raised above 60. Additionally, they must make make a Language Test to convey or comprehend particularly complex information or sentences at a ?10 modifier. At the gamemaster’s discretion, this may also impair other skill tests, particularly Knowledge skills when dealing with detailed data or specialist terminology. Level 2 does not incorporate Level 1 effects.","Uplift’s particular brain structure has difficulty processing language (see p147, PO). Only for uplifts.",-10,-20,,4,
"Trait","Ego Trait","Incompetent","EP",149,"The character is completely incapable of performing a particular chosen active skill, no matter any training they may receive. They may not buy this skill during character creation or later advancement, and the modifier for defaulting to the linked aptitude of this particular skill is –10. This may not be used for exotic weapon skills, and should be used for a skill that could be of use to the character.","Can not buy or advance a specific active skill. Defaults to -10.",-10,,,,
"Trait","Ego Trait","Low Pain Tolerance","EP",150,"Pain is the character’s enemy. The character has a very low threshold for pain tolerance and is more severely impaired when suffering. Increase the modi­fier for each wound take by an additional –10 (so the character suffers –20 with one wound, –40 with another, and –60 with a third). Additionally, the character suffers a –30 modifier on any test involving pain resistance. The morph version of this trait is only available for biomorphs. ","Additional –10 per wound. Also, character suffers a –30 modifier on any test involving pain resistance. The morph version is only for biomorphs. ",-20,,,1,
"Trait","Ego Trait","Mental Disorder","EP",150,"You have a psychological disorder from a previous traumatic experience in your life. Choose one of the disorders listed on p. 211. ","Has a psychological disorder from the disorders listed on p. 211. ",-10,-20,-30,,
"Trait","Ego Trait","Modified Behavior","EP",150,"The character has been conditioned via time-accelerated behavioral control psychosurgery. This is common among ex-felons, who have been conditioned to respond to a specific idea or activity with vehement horror and disgust, but may have occurred for some other reason or even been self-inflicted. At Level 1, the chosen behavior is either limited or boosted, at Level 2 it is either blocked or encouraged, and at Level 3 it is expunged or enforced (see p. 231 for details). This trait should only be allowed for behaviors that are either limited or, if encouraged, impact the character in a negative way. "," At Lvl 1, chosen behavior is either limited or boosted, at Lvl 2 it is either blocked or encouraged, and at Lvl 3 it is expunged or enforced (see p. 231 for details)",-5,-15,-20,,
"Trait","Ego Trait","Morphing Disorder","EP",150,"Adapting to new morphs is particularly challenging for this character. The character suffers a –10 modifier per level on Integration Tests (p. 271) and Alienation Tests (p. 272). ","Suffers a –10/level on Integration Tests (p. 271) and Alienation Tests (p. 272). ",-10,-20,-30,,
"Trait","Ego Trait","Neural Damage","EP",150,"The character has suffered some type of neurological damage that simply cannot be cured. The affliction is now part of the character’s ego and remains with them even when remorphing. This damage may have been inherited, it may have resulted from a poorly designed morph or implant, or it may have been inflicted by one of the TITAN nanoviruses that targeted neural systems during the Fall (p. 384). The gamemaster and player should agree on a specific disorder appropriate to their game. Some possibilities are: • Partial aphasia (difficulty communicating or using words) • Color blindness • Amusica (inability to make or understand music) • Synaesthesia • Logorrhoea (excessive use of words) • Loss of face recognition • Loss of depth perception (double range modifiers) • Repetitive behavior • Mood swings • The inability to shift attention quickly... The gamemaster may decide to inflict modifiers resulting from this affliction as appropriate. ","The character has suffered some type of neurological damage that simply cannot be cured. GM may apply penalties.",-10,,,,
"Trait","Ego Trait","Oblivious","EP",151,"The character is particularly oblivious to events around them or anything other than what their attention is focused on. They suffer a –10 modifier to Surprise Tests and their modifier for being Distracted is –30 rather than the usual –20 (see Basic Perception, p. 190). ","–10 modifier to Surprise Tests and modifier for being Distracted is –30.",-10,,,,
"Trait","Ego Trait","On the Run","EP",151,"The character is wanted by the authorities of a particular habitat/station or faction, who continue to actively search for the character. They either committed a crime or somehow displeased someone in power. The character deals with that faction in question at their own risk and may occasionally be forced to deal with bounty hunters.","The character is wanted by the authorities of a particular habitat/station or faction.",-10,,,,
"Trait","Ego Trait","Psi Vulnerability","EP",151,"Something about the character’s mind makes them particularly vulnerable to psi attack. They suffer a –10 modifier when resisting such attacks. The morph version of this trait may only be taken by biomorphs. "," –10 modifier when resisting psi attacks. Morph version only for biomorphs. ",-10,,,1,
"Trait","Ego Trait","Real World Naivete","EP",151,"Due to their background, the character has very limited personal experience with the real (physical) world—or they have spent so much time in simulspace that their functioning in real life is impaired. They lack an understanding of many physical properties, social cues, and other factors that people with standard human upbringings take for granted. This lack of common sense may lead the character to misunderstand how a device works or to misinterpret someone’s body language. Once per game session, the gamemaster may intentionally mislead the character when giving them a description about some thing or some social interaction. This falsehood represents the character’s misunderstanding of the situation and should be roleplayed appropriately, even if the player realizes the character’s mistake. This trait should only be available to characters with the infolife or re-instantiated backgrounds, though the gamemaster may allow it for characters who have extensive virtual reality/XP use in their personal histories.","Due to their background, the character has little experience with the real world. GM may mislead character because of it.",-10,,,,
"Trait","Ego Trait","Shut In","PO",147,"This character is a social hermit or went through a period of self-imposed isolation, limiting the amount of interactions they have via online social networks. Because the character is out of touch, their ability to network with others is impaired. Apply a ?10 modifier to Networking Tests."," ?10 modifier to Networking Tests.",-15,,,,
"Trait","Ego Trait","Slow Learner","EP",151,"New skills are not easy for this character to pick up. The character takes twice as long as normal to improve skills or learn new ones (p. 152).","Takes twice as long as normal to improve skills or learn new ones (p. 152). ",-10,,,,
"Trait","Ego Trait","Social Stigma","EP",151,"An unfortunate aspect of the character’s background means that they suffer from a stigma in certain social situations. They may be sleeved in a morph viewed with repugnance, be a survivor of the infamous Lost generation, or may be an AGI in a post-Fall society plagued by fear of artificial intelligence. In social situations where the character’s nature is known to someone who view that nature with distaste, fear, or repugnance, they suffer a –10 to –30 modifier (gamemaster’s discretion) to social skill tests."," –10 to –30 modifier (gamemaster’s discretion) to social skill tests.",-10,,,,
"Trait","Ego Trait","Stalker","PO",147,"A voyeur obsessively stalks this character’s actions online. The gamemaster and player should work out details of the stalker together, and the gamemaster should use the stalker as a plot element to create occasional nuisances and challenges. The stalker could, for example, be a fan who over-appreciates the character’s work and pesters them or a unknown entity that follows the character’s actions religiously and posts the details to an online log.","A voyeur obsessively stalks this character’s actions online.",-10,,,,
"Trait","Ego Trait","Stolen Identity","PO",147,"Someone stole this character’s identity and took advantage of their name, reputation, background—the works. Though this happened in the past, the situation was never fully resolved and the character is plagued with collateral difficulties from the theft. The gamemaster and player should work out details of the incident together, and the gamemaster should use this to occasionally hinder the character or create complications. For example, the character may have to deal with criminal charges against them in one habitat, angry thugs looking for payback on another, and so on.","Someone stole this character’s identity and took advantage of their name, reputation, background.",-10,,,,
"Trait","Ego Trait","Timid","EP",151,"This character frightens easily. They suffer a –10 modifier when resisting fear or intimidation.","–10 modifier when resisting fear or intimidation.",-10,,,,
"Trait","Ego Trait","VR Vertigo","EP",152,"The character experiences intense vertigo and nausea when interfacing with any type of virtual reality, XP, or simulspace. Augmented reality has no effect, but VR inflicts a –30 modifier to all of the character’s actions. Prolonged use of VR (gamemaster’s discretion) may actually incapacitate the character should they fail a WIL × 2 Test. ","VR inflicts a –30 modifier to all of the character’s actions. Prolonged use of VR may incapacitate the character if they fail a WIL × 2 Test.",-10,,,,
"Trait","Ego Trait","Wait, That Was You?","PO",147,"This character was the unfortunate star of a viral meme that swept through the solar system’s mesh networks—provoking anger, disgust, or mockery towards them. To this day, strangers who access the character’s social profile are likely to connect them to that meme, coloring their perception of the character. Once per game session, the gamemaster may decide that a stranger with whom the character is interacting and who has access to the character’s online public profile makes the connection. The character suffers a one-time ?20 modifier to any social skill or Networking Test with that stranger.","Once per game session, the gamemaster may give player a one-time -20 penalty to any social skill or Networking Test with a stranger.",-10,,,,
"Trait","Morph Trait","Coronal Adaptation (Biomorph)","SW",164,"For biomorphs, this radical alteration enables the subject’s metabolism to live off solar energy, using medichines to repair radiation damage. This same metabolism also generates powerful electro­magnetic fields that protect the character from the intense temperatures and radiation in the coronal environment and even enable the character to sail the solar winds. Morphs with this adaptation cannot survive outside the coronal environment (or similar environments) for more than a few days without extensive medical support. Coronal adaptation can only be applied to morphs that also have medichines (p. 308, EP).","Protects character from intense temperatures and radiation in the coronal environment and enables the character to sail solar winds. Requires medichines.",30,,,1,
"Trait","Morph Trait","Coronal Adaptation (Synthmorph)","SW",164,"For synthmorphs, this adaptation restructures the morph’s composition with heat-resistant materials capable of surviving superheated plasma and shielded against radiation. The shell is also equipped with refractive metamaterials and a perfectly mirrored surface, giving it an albedo of nearly one. The reflective surface protects the wearer from well over 99% of the radiant energy that falls upon it, but a powerful cooling system and extensive radiation shielding are required for the minuscule percentage of energy that slips through. Generated electromagnetic fields also protect the morph and enable propulsion along solar magnetic lines. This adaptation provides a +10 modifier to the biomorph’s Free Fall skill tests in the presence of strong electromagnetic fields. It also provides 10 points of Energy armor against heat and electromagnetic-based attacks (such as lasers, microwaves, and plasma weapons, but not explosions).","Reflects 99% of the sun's radiant energy, +10 modifier to Free Fall near strong electric fields, +10 energy armor vs heat/electromagnetic attacks.",30,,,2,
"Trait","Morph Trait","Eidetic Memory","EP",146,"Much like a computer, the character has perfect memory recall. They can remember anything they have sensed, often even from a single glance. This works the same as the eidetic memory implant (p. 301). ","Character has perfect memory recall, same as the eidetic memory implant (p. 301). ",10,,,,
"Trait","Morph Trait","Exceptional Aptitude","EP",146,"As an ego trait, the character may raise the maximum for a particular chosen aptitude to 40 rather than 30 (p. 122). As a morph trait, it raises the morph aptitude maximum (p. 124) for a particular chosen aptitude by 10 (30 for flats, 35 for splicers, 40 for all others). Note that this trait just raises the maximum, it does not give the character 10 more aptitude points. This trait may only be taken by a morph or ego once. ","Raises the morph aptitude max. (p. 124) for an aptitude by 10. Just raises the max., does not give 10 more aptitude points. ",20,,,,
"Trait","Morph Trait","High-Temperature Operation","SW",165,"This morph has been designed to operate only in high-temperature environments, enabling them to withstand temperatures up to 1,000 C. This morph loses 1 point of COO for every 5 minutes it spends at temperatures lower than 250 C, and 1 point of COO for every minute that it spends below 150 C. When its COO equals zero the morph becomes completely immobile. This same penalty is applied to all COO-based skill rolls. The morph’s cyberbrain and mesh access still work in these circumstances, but the morph cannot physically move under its own power. Even if placed back in higher temperatures, if it was previously reduced to total immobility, the morph halves its COO and SOM (round down) until it has been serviced. This trait may only be applied to synthmorphs. It provides 5 points of Energy armor against heat-based attacks (such as lasers, microwaves, and plasma weapons, but not explosions).","Takes massive penalties if not in high heat environs. +5 energy armor vs heat/electromagnetic attacks. Only for Synthmorphs.",10,,,2,
"Trait","Morph Trait","Improved Immune System","EP",146,"The morph’s immune system is robust and more resistant to diseases, drugs, and toxins—even more than basic biomods. At Level 1, apply a +10 modifier whenever making a test to resist infection or the effects of a toxin or drug. At Level 2, increase this modifier to +20. This trait is only available to biomorphs.","+10/level to resist diseases, drugs, and toxins. Only for biomorphs.",10,20,,1,
