"cat","type","name","book","page","desc","sum","psitype","action","range","duration","strain","skill"
"Sleight","Psi-Gamma","Charisma","EP",226,"The async uses this sleight to influence the target’s mind on a subconscious level so that the target perceives them to be charming, magnetic, and persuasive. If the async beats the target in an Opposed Test, they gain a +30 modifier on all subsequent Social Skill Tests for the chosen duration. "," If the async beats the target in an Opposed Test, they gain a +30 modifier on all subsequent Social Skill Tests for the chosen duration. ","Active","Quick","Touch","Temp (Minutes)",-1,"Control"
"Sleight","Psi-Gamma","Cloud Memory","EP",226,"Cloud Memory allows the async to temporarily disrupt the target’s ability to form long-term memories. If the async wins the Opposed Test, the target’s memory-saving ability is negated for the duration. The target will retain short-term memories during this time, but will soon forget anything that occurred while this sleight was in effect. ","If the async wins the Opposed Test, the target retains short-term memories during this time, but will forget anything that occurred while this sleight was in effect. ","Active","Complex","Touch","Temp (Minutes)",-1,"Control"
"Sleight","Psi-Gamma","Deep Scan","EP",226,"Deep Scan is a more intrusive version of Thought Browse (p. 228), made to extract information from the targeted individual. If the Opposed Test succeeds, the async telepathically invades the target’s mind and can probe it for information. For every 10 full points of MoS the async achieves on their test, they retrieve one piece of information. Each item takes one full Action Turn to retrieve, during which the sleight must be sustained. The target is aware of this mental probing, though they will not know what information the async acquired. ","1 piece of info per 10 points of MoS on the test. One full Action Turn per item, while sleight sustained. Target aware of probe, but not what information was taken.","Active","Complex","Touch","Sustained",1,"Sense"
"Sleight","Psi-Gamma","Drive Emotion","EP",226,"This sleight allows the async to stimulate cortical areas of the target’s brain related to emotion. This allows the async to induce, amplify, or tone down specific emotions, thereby manipulating the target. If the async beats the target in an Opposed Test, they will act in accordance with the emotion for the duration and under certain circumstances may suffer from certain penalties (up to +/–30), as determined by the gamemaster. For example, an async might receive a +30 Intimidation Test modifier against a target imbued withe fear. ","If the async beats the target in an Opposed Test, target will act on emotion for the duration and may suffer from penalties (up to +/–30), at gamemasters digression.","Active","Complex","Touch","Temp (Action Turns)",-1,"Control"
"Sleight","Psi-Gamma","Ego Sense","EP",226,"Ego Sense can be used to detect the presence and location of other sentient and biological life forms (i.e., egos) within the async’s range. To detect these life forms, the async makes a single Sense Test, opposed by each life form within range. The async may suffer a modifier for detecting small animals and insects, similar to the modifier applied for targeting them in ranged combat (Combat Modifiers table, p. 193); likewise, a modifier for detecting larger life forms may also be applied. If successful, the async detects that the life form is nearby. Every 10 full points of MoS will ascertain another piece of information regarding the detected life: direction from async, approximate size, type of creature, distance from async, etc. The async will know if the target moves, if they do so during the sleight’s duration. "," If successful, the async detects that the life form is nearby. New information for every 10 full points of MoS (i.e. direction, approx. size, type of creature, etc.)","Active","Complex","Close","Temp (Action Turns)",-1,"Sense"
"Sleight","Psi-Gamma","Empathic Scan","EP",226,"Empathic Scan enables the async to sense the target’s base emotions. If the async wins the Opposed Test, they intuitively feel the target’s current emotional state for as long as the sleight is sustained. At the gamemaster’s discretion, this knowledge may provide a modifier (up to +30) for certain Social skill tests. "," If async wins Opposed Test, they can feel the target’s current emotional state while sleight is sustained. Gamemaster may provide up to +30 for some Social skill tests. ","Active","Quick","Close","Sustained",-2,"Sense"
"Sleight","Psi-Gamma","Implant Memory","EP",226,"An async using this sleight can implant a memory of up to an hour’s length inside the target’s mind. This memory very obviously does not belong to the target—there is no way they will confuse it for one of their own. The intent is not to fake memories, but to place one of the async’s memories in the target’s mind so that the target can access it just like any other memory. This can be useful for “archiving” important data with an ally, providing a literal alternate perspective, or simply making a “data dump” for the target to peruse. Implant Memory requires an Opposed Test against unwilling participants. At the gamemaster’s discretion, particularly traumatic memories might inflict mental stress on the recipient (p. 214). ","Implant a memory (up to 1 hour) in target’s mind. Target knows it is not one of their own. Opposed Test vs unwilling target. Traumatic memories may inflict mental stress.","Active","Complex","Touch","Instant",0,"Control"
"Sleight","Psi-Gamma","Implant Skill","EP",227,"Similar to Implant Memory, this sleight allows the async to impart some of their expertise and implant it into the target’s mind. For the duration of the sleight, the target benefits when using that skill. If the async’s skill is between 31 and 60, the target receives a +10 bonus. If the async’s skill is 61+, the target receives a +20 bonus. Implant Skill requires an Opposed Test against unwilling participants. In some cases, the target has been known to use the skill with the async’s flair and mannerisms. ","Target benefits when using chosen skill. If async’s skill is 31-60, target gets +10 bonus. If async’s skill is 61+, target gets +20. Opposed Test vs unwilling target.","Active","Complex","Touch","Temp (Action Turns)",0,"Control"
"Sleight","Psi-Gamma","Mimic","EP",227,"In a setting where changing your body and face is not unusual, people learn to recognize habits and personality quirks more often. The async must use this sleight on a target and succeed in a Success Test. If successful, the async acquires an “imprint” of the target’s mind that they can take advantage of when impersonating that ego. The async then receives a +30 bonus on Impersonation Tests when mimicking the target’s behavior and social cues. ","If async must use this sleight on a target and succeeds in a Success Test, the async receives a +30 bonus on Impersonation Tests when mimicking the target’s behavior. ","Active","Quick","Close","Instant",0,"Sense"
"Sleight","Psi-Gamma","Mindlink","EP",227,"Mindlink allows two-way mental communication with a target. This may be used on more than one target simultaneously, in which case the async can act as a telepathic “server” so that everyone mindlinked with the async may also telepathically communicate with each other (via the async, however, who overhears). Language is still a factor in mindlinked communications, but this barrier may be overcome by transmitting sounds, images, emotions, and other sensations. Mindlink requires an Opposed Test against unwilling participants. ","Allows two-way mental communication with a target. This may be used on more than one target simultaneously. Requires an Opposed Test against unwilling participants. ","Active","Quick","Touch","Sustained","*","Control"
"Sleight","Psi-Gamma","Omni Awareness","EP",227,"An async with Omni Awareness is hypersensitive to other biological life that is observing them. During this sleight’s duration, the async makes a Sense Test that is opposed by any life that has focused their attention on them within the sleight’s range; if successful, the async knows they are being watched, but not by whom or what. It does, however, apply a +30 Perception bonus to spot the observer. This sleight does not register partial or fleeting attention, it only notices targets who are actively observing (even if they are concealing their observation). This sleight is effective in spotting a tail, as well as finding potential mates in a bar. ","With successful opposed Sense Test vs any life that has focused attention on them (in range), async knows they are being watched. Grants +30 Perception to spot observer.","Active","Quick","Close","Temp (Minutes)",-1,"Sense"
"Sleight","Psi-Gamma","Penetration","EP",228,"Penetration is a sleight that works in conjunction with any offensive sleight that involves the Psi Assault skill. It allows the async to penetrate the Psi Shield of an opponent by concentrating their psi attack. Every point of Armor Penetration applied to a psi attack inflicts 1 point of strain. The maximum AP that may be applied equals the async’s Psi Assault skill divided by 10 (round down). ","Penetrates of the Psi Shield of an opponent. +1 AP on a psi attack inflicts +1 strain. Max. possible AP equals async’s Psi Assault skill divided by 10 (round down). ","Active","Quick","Touch","Instant","*","Psi Assault"
"Sleight","Psi-Gamma","Psi Shield","EP",228,"Psi Shield bolsters the async’s mind to psi attack and manipulation. If the async is hit by a psi attack, they receive WIL ÷ 5 (round up) points of armor, reducing the amount of damage inflicted. They also receive a +10 modifier when resisting any other sleights. "," If the async is hit by a psi attack, they receive WIL ÷ 5 (round up) points of armor, reducing the damage inflicted. Also get +10 modifier resisting any other sleights. ","Passive","Automatic","Self","Constant",,
"Sleight","Psi-Gamma","Psychic Stab","EP",228,"Psychic Stab is an offensive sleight that seeks to inflict physical damage on the target’s brain and nervous system. Each successful attack inflicts 1d10 + (WIL ÷ 10, round up) damage. Increase the damage by +5 if an Excellent Success (MoS of 30+) is scored. ","Each successful attack inflicts 1d10 + (WIL ÷ 10, round up) damage. Increase the damage by +5 if an Excellent Success (MoS of 30+) is scored. ","Active","Complex","Touch","Instant",0,"Psi Assault"
"Sleight","Psi-Gamma","Scramble","EP",228,"Scramble allows the async using the sleight to hide from another async using the Ego Sense or Omni Awareness sleights. Apply a +30 modifier to the defending async’s Opposed Test. ","Scramble allows the async using the sleight to hide from another async using the Ego Sense or Omni Awareness sleights. +30 modifier to the defending async’s Opposed Test. ","Passive","Automatic","Self","Constant",,
"Sleight","Psi-Gamma","Sense Block","EP",228,"Sense Block disables and short circuits one of the target’s sensory cortices (chosen by the async), interfering with and possibly negating a specific source of sensory input for the chosen duration. If the async beats the target in the Opposed Test, the target suffers a –30 modifier to Perception Tests with that sense (doubled to –60 if the async scores an Excellent Success). ","If the async beats the target in the Opposed Test, the target suffers a –30 modifier to Perception Tests with a particular sense (doubled to –60 if an Excellent Success). ","Active","Complex","Touch","Temp (Action Turns)",-1,"Psi Assault"
"Sleight","Psi-Gamma","Spam","EP",228,"This sleight allows the async to overload and flood one of the target’s sensory cortices (chosen by the async), spamming them with confusing and distracting sensory input and thereby impairing them. If the async wins the Opposed Test, the target suffers a –10 modifier to all tests the duration of the sleight (doubled to –20 if the async scores an Excellent Success). ","If the async wins the Opposed Test, the target suffers a –10 modifier to all tests the duration of the sleight (doubled to –20 if the async scores an Excellent Success). ","Active","Complex","Touch","Temp (Action Turns)",0,"Psi Assault"
"Sleight","Psi-Gamma","Static","EP",228,"The async generates an anti-psi jamming field, impeding any use of ranged sleights within their range. All such ranged sleights suffer a –30 modifier. This sleight has no effect on self or touch-range sleights. ","All such ranged sleights suffer a –30 modifier. This sleight has no effect on self or touch-range sleights. ","Active","Complex","Close","Sustained",0,
"Sleight","Psi-Gamma","Subliminal","EP",228,"The Subliminal sleight allows the async to influence another person by implementing a single post-hypnotic suggestion into the mind of the target. If the async wins the Opposed Test, the recipient will carry out this suggestion as if it was their own idea. Implanted suggestions must be short and simple; the gamemaster may require suggestions be encompassed in a short sentence (for example: “open the airlock,” or “hand over the weapon”). The target may receive a bonus for resisting suggestions that are immediately life threatening (“jump off the bridge”) or that violate their motivations or personal strictures. Suggestions may be implanted with a short trigger condition (“when the alarm goes off, ignore it”). "," If the async wins the Opposed Test, the recipient will carry out a post-hypnotic suggestion as if it was their own idea. Implanted suggestions must be short and simple.","Active","Complex","Touch","Instant",2,"Control"
"Sleight","Psi-Gamma","Thought Browse","EP",228,"Thought Browse is a less-intrusive form of mind reading that scans the target’s surface thoughts for certain “keywords” like a particular word, phrase, sound, or image chosen by the async. Rather than digging through the target’s ego as with the Deep Scan sleight, Thought Browse merely verifies whether a target has a particular person, place, event, or thing in mind, which can be used by a savvy investigator to draw conclusions without the need to invade the mind directly. Thought Browse may be sustained, allowing the async to continue scanning the target’s thoughts over time. The async must beat the target in an Opposed Test for each scanned item. ","Scans the target’s surface thoughts for a particular trigger. May be sustained to continue scanning the target’s thoughts over time. Opposed Test for each scanned item. ","Active","Complex","Touch","Sustained",-1,"Sense"
