"cat","type","name","book","page","desc","sum","cost","acc_allowed","acc_default","skill","damage","dmod","ap","modes","cf","shots","r1","r2","r3","r4","ammo","hands","size"
"Ranged Weapon","Beam","Particle Beam Bolter","EP",339,"This weapon shoots a bolt of accelerated particles at near light speed that transfer massive amounts of kinetic energy to the target, super­heating and creating an explosion when striking. The bolter’s beam is not diffused by the cloud that occurs when it strikes, and so it has greater penetration than the laser pulser. Likewise, the bolter is not affected by smoke, fog, or rain. The bolter’s beam is invisible (but visible in infrared). Bolters must be set for either atmospheric or exoatmospheric (vacuum) operation and will not func­tion in the opposite environment, though it only takes a Complex Action to switch. Bolters fire in semi-auto mode and are rifle-sized two-handed weapons. "," Explosive beam, not affected by smoke, fog, or rain. Beam only visible in infrared. Must be set for either atmospheric or vacuum (complex action).","High","Gyromount,Imaging Scope,Laser Sight,Shock Safety,","Smartlink,Safety System","Beam Weapons",2,4,-2,"SA",1,50,30,100,150,300,,2,"medium"
"Ranged Weapon","Beam","Plasma Cutter","GC",159,"Plasma cutters are useful cutting and excavation tools that also work as short-range weapons. They are devices that are halfway in use and power between a plasma torch and a plasma rifle and are designed to cut rock, refractory alloys, and similar substances. They have a maximum range of 15 meters and can be fired continuously to cut away large segments of even the thickest rock wall very rapidly. Plasma cutters consist of a hand-held unit the size of a small, thick rifle that is connected to a small backpack unit by a flexible cable. ","Useful cutting and excavation tools that also work as short-range weapons.","High","Gyromount,Imaging Scope,Laser Sight,Shock Safety,","Smartlink,Safety System","Beam Weapons",2,8,-8,"SA",1,20,5,15,18,20,,2,"medium"
"Ranged Weapon","Beam","Plasma Rifle","EP",339,"This bulky, heavy, two-handed weapon blasts a stream of nova-hot plasma at the target, inflicting severe burns and thermal damage, possibly melting or evaporating the target entirely. Plasma rifles are perhaps the deadliest man-portable weapons in use. Any hit that is an Excellent Success (MoS 30+) sets the target on fire (p. 198); they will continue to take 2d10 damage per Action Turn until extinguished. Plasma guns suffer from dangerous overheating in vacuum and require 1 full Action Turn of cool-down time after every 2 shots. Plasma rifles fire in semi-auto mode.  ","Any hit with MoS 30+ sets target on fire (p. 198); they will take 2d10 dam. per Action Turn until put out. Requires 1 Action Turn of cool-down every 2 shots.","Expensive","Gyromount,Imaging Scope,Laser Sight,Shock Safety,","Smartlink,Safety System","Beam Weapons",3,20,-8,"SA",1,10,20,50,100,300,,2,"medium"
"Ranged Weapon","Beam","Stunner","EP",339,"The stunner is an electrolaser that creates an electrically conductive plasma channel to the target, down which it transmits a powerful electric current, shocking the target. Stunners do not work in vacuum. Stunners fire in semi-auto mode. ","Non-lethal electrolaser that shocks the target.","Moderate","Arm Slide,Gyromount,Imaging Scope,Laser Sight,Shock Safety,","Smartlink,Safety System","Beam Weapons",1,0,0,"SA",1,200,10,25,40,60,,1,"small"
"Ranged Weapon","Seeker","Disposable Launcher","EP",339,"This launcher is pre-packed with one standard missile."," Pre-packed with one standard missile.","Moderate","Gyromount,Imaging Scope,Laser Sight,Shock Safety,Smart Magazine","Smartlink,Safety System","Seeker Weapons",0,0,0,"SS",0,1,300,1000,3000,10000,"Missile",2,"medium"
"Ranged Weapon","Seeker","Seeker Armband","EP",339,"This weapons unit is worn on the arm, allowing the user to point and fire using an entoptic smartlink system. Though highly portable, the armband’s micromissile supply is low. It fires in single-shot mode. ","Worn on the arm, allowing the user to point and fire using an entoptic smartlink system.","Moderate","Extended Magazine,Gyromount,Imaging Scope,Laser Sight,Shock Safety,Smart Magazine","Smartlink,Safety System","Seeker Weapons",0,0,0,"SS",0,4,70,180,600,2000,"Micromissile",0,"small"
"Ranged Weapon","Seeker","Seeker Pistol","EP",340,"This pistol-sized seeker launcher fires micromissiles in semi-auto mode. ","fires micromissiles in semi-auto mode.","Moderate","Arm Slide,Extended Magazine,Gyromount,Imaging Scope,Laser Sight,Shock Safety,Smart Magazine","Smartlink,Safety System","Seeker Weapons",0,0,0,"SA",0,8,70,180,600,2000,"Micromissile",1,"small"
"Ranged Weapon","Seeker","Seeker Rifle","EP",340,"The seeker rifle comes in a bullpup configuration and fires either micromissiles or minimissiles in semi-auto mode. It is a two-handed weapons. ","Fires either micromissiles or minimissiles in semi-auto mode.","High","Extended Magazine,Gyromount,Imaging Scope,Laser Sight,Shock Safety,Smart Magazine","Smartlink,Safety System","Seeker Weapons",0,0,0,"SA",0,"#N/A","#N/A","#N/A","#N/A","#N/A","Minimissile, Micromissile",2,"medium"
"Ranged Weapon","Seeker","Underbarrel Seeker","EP",340,"This seeker micromissile launcher is commonly attached to the underbarrel of SMGs or assault rifles. It fires in semi-auto mode. ","Micromissile launcher is commonly attached to the underbarrel of SMGs or assault rifles.","Moderate","Extended Magazine,Gyromount,Imaging Scope,Laser Sight,Shock Safety,Smart Magazine","Smartlink,Safety System","Seeker Weapons",0,0,0,"SA",0,6,70,180,600,2000,"Micromissile",0,"small"
"Ranged Weapon","Spray","Buzzer","EP",341,"Equipped with a specialized nanobot hive, Buzzers are used to spray a nanoswarm (p. 328) on a target or area. They have a limited capacity of swarms, though the nanohive can construct one new swarm each hour. This weapon is two-handed. ","Buzzers are used to spray a nanoswarm (p. 328) on a target or area.","Moderate","Gyromount,Imaging Scope,Laser Sight,Shock Safety","Smartlink,Safety System","Spray Weapons","Special",0,0,"SS",0,3,5,15,30,50,"Special",2,"medium"
"Ranged Weapon","Spray","Freezer","EP",341,"Freezers spew out a fast-hardening foam that immediately begins to harden. They are primarily used as a non-lethal method of immobilizing or securing a target. Struck characters must immediately make a REF × 3 Test or become trapped. Apply a –30 modifier to this test if the attacker scored an Excellent Success (MoS 30+). The foam allows characters to breath even if their mouth and nose are covered, but it may impede sight. Freezer foam can be spiked with contact toxins or drugs to additionally sedate the target. It can also be used to construct temporary barricades or cover. Hardened foam has an Armor of 10 and Durability of 20. It slowly breaks down and degrades over a 12 hour period. Freezers are two-handed. ","Freezers spew out a non-lethal, fast-hardening foam to incapacitate targets.","Moderate","Gyromount,Imaging Scope,Laser Sight,Shock Safety,","Smartlink,Safety System","Spray Weapons","Special",0,0,"SA",0,20,5,15,30,50,"Freezer Gel",2,"medium"
"Ranged Weapon","Spray","Shard Pistol","EP",341,"The shard pistol is a flechette weapon, firing a stream of of diamondoid monomolecular shards at high velocities. These micro flechettes are very good at penetrating armor, but they do not disperse kinetic energy well and so do not cause as much tissue damage as kinetic weapons. Shard ammunition is often coated with drugs or toxins for extra effi­ciency. ","Fires diamondoid monomolecular shards at high velocities. Very good at penetrating armor, but do not cause as much tissue damage as kinetic weapons.","Low","Arm Slide,Gyromount,Imaging Scope,Laser Sight,Shock Safety,","Smartlink,Safety System","Spray Weapons",1,6,-10,"SA,BF,FA",1,100,10,30,50,70,"Shards",1,"small"
"Ranged Weapon","Spray","Shredder","EP",341,"A heavier version of the shard pistol, the shredder fires a larger cloud of lethal flechettes, enough to shred a portion of the target into a fine mist.","Fires diamondoid monomolecular shards at high velocities. Very good at penetrating armor, but do not cause as much tissue damage as kinetic weapons.","Moderate","Arm Slide,Gyromount,Imaging Scope,Laser Sight,Shock Safety,","Smartlink,Safety System","Spray Weapons",2,5,-10,"SA,BF,FA",1,100,10,40,70,100,"Shards",2,"medium"
"Ranged Weapon","Spray","Sprayer","EP",341,"This is a general-purpose two-handed squirtgun, loaded with tanks filled with the chemical or drug of the wielder’s choice. ","Two-handed squirtgun, attached to tanks filled with the chemical or drug of the wielder’s choice. ","Low","Gyromount,Imaging Scope,Laser Sight,Shock Safety,","Smartlink,Safety System","Spray Weapons","Special",0,0,"SA",0,20,5,15,30,50,"Special",2,"medium"
"Ranged Weapon","Spray","Torch","EP",341,"This modern flamethrower uses condensed ammunition capsules rather than fuel tanks, scorch­ing targets and setting them on fire. Any hit that is an Excellent Success (MoS 30+) sets the target on fire, where they will continue to take 2d10 damage per Action Turn. These chemical fires are particularly difficult to put out unless they are deprived of oxygen. Torches are two-handed. ","Modern flamethrower. MOS 30+ sets the target on fire for 2d10 dam. per Action Turn. Chemical fire difficult to douse unless deprived of oxygen.","Moderate","Gyromount,Imaging Scope,Laser Sight,Shock Safety","Smartlink,Safety System","Spray Weapons",3,0,-4,"SS",0,20,5,15,30,50,"Torch Gel",2,"medium"
"Ranged Weapon","Exotic","Vortex Ring Gun","EP",342,"This less-lethal two-handed weapon detonates a blank cartridge and accelerates the explosive pressure down a widening barrel so that it develops into a high-speed vortex ring—a spinning, donut-shaped blast vortex. This concussive blast is used to knock down and incapacitate close-range targets. Struck targets suffer a –10 action modifier for the rest of that Action Turn and must must succeed in a SOM × 2 Test or fall down. If their MoF is 30+, they are additionally stunned and unable to act until the end of the next Action Turn. Drugs, chemicals, and similar agents may be loaded into the charge as well.","Fires non-lethal concussive blast. Targets get –10 action modifier for the rest of that Action Turn and must must succeed in a SOM × 2 Test or fall down.","Moderate","Gyromount,Imaging Scope,Laser Sight,Shock Safety,","Smartlink,Safety System","Exotic Ranged: Vortex Ring Gun","Special",,,"SS",0,"Special",5,15,30,50,,2,"medium"
"Ranged Weapon","Hidden","Hand Laser","EP",308,"The morph has a weapon-grade laser implanted in its forearm, with a flexible waveguide leading to a lens located between the first two knuckles on the morph’s dominant hand. The laser fires from this waveguide, inflicting 2d10 damage with 0 AP. The laser is powered by a small nuclear battery located in the morph’s torso, good for 50 shots before it must be recharged like other beam weapon batteries.","Implanted forearm laser, with a lens located between the first two knuckles on the morph’s dominant hand.",,,"Smartlink","Beam Weapons",2,0,0,"SA",1,50,30,80,125,230,,,
"Ranged Weapon","Hidden","Thrown","EP",,,,,,,"Thrown Weapons",0,0,0,"SS",0,"Special","#N/A","#N/A","#N/A","#N/A","Grenade",,
