"cat","type","name","book","page","desc","sum","cost"
"Gear","bioware","Digging Claws","GC",152,,"Lengthier, sturdier hands with digging claws which can cause damage of 1d10 + 2 + (SOM ÷ 10) DV with an AP of –1","Low"
"Gear","bioware","Enhanced Respiration (specific)","GC",152,,"As Enhanced Respiration (EP 305), but for specific atmospheres","Low"
"Gear","bioware","High Gravity Adaptation","GC",152,,"+5 Dur, +5 Som. No negative modifiers from gravities up to 2g, reduce all penalties for higher gravities by 1g.","Moderate"
"Gear","bioware","Swim Bladder","GC",152,,"Morph can control bouyancy underwater. Additional +10 hearing based Perception underwater.","Low"
"Gear","Cyberware","Anti-Glare","EP","306",,"Eliminates visual penaties for glare","Low"
"Gear","Cyberware","Electrical Sense","EP","306",,"Range 5m, detect all etectronics, and +10 to any test involving analyzing, repaing or modifying electrical equipment","Low"
"Gear","Cyberware","Radiation Sense","EP","306",,"Can detect all forms of dangerious radiation, including neutrons, charged particles and cosmic rays","Low"
"Gear","Cyberware","T-Ray Emitter","EP","306",,"Emits t-rays 20m in atmosphere or 100m in vacuum ","Low"
"Gear","Cyberware","Hearing Filter","PO","149",,"With this implant morphs can fine tune the information provided by the bioware enhanced hearing  as if it was the cyberware version.  ","Low"
"Gear","Cyberware","Smell Filter","PO","149",,"With this implant morphs can fine tune the information provided by the bioware enhanced smell as if it was the cyberware version. ","Low"
"Gear","Cyberware","Vision Filter","PO","149",,"With this implant morphs can fine tune the information provided by the bioware enhanced vision as if it was the cyberware version.","Low"
"Gear","Cyberware","Life Recorder","PO","149",,"This implant is a micro-sized memory diamond storage device that records all sensory input as experienced by the brain to which it is linked.","Low"
"Gear","Cyberware","Memory Lock","PO","149",,"This implant, when activated, prevents data from being stored or recorded in long-term memory, mnemonic augmentation, cortical stack, or other sensory link.","Low"
"Gear","Cyberware","Access Jacks","EP","306",,"Allow people to hard wire with electronics, comes defaut in synthmorphs","Low"
"Gear","Cyberware","Dead Switch","EP","306",,"If the morph is killed the dead switch wipes the cortical stack","Low"
"Gear","Cyberware","Emergency Farcaster","EP","306",,"Implated quantum farcaster that backups the ego every 48 hours and has a single use neutrino farcaster.","Expensive"
"Gear","Cyberware","Ghostrider Module","EP","307",,"Extra space for an ego","Low"
"Gear","Cyberware","Mnemonic Augmentation","EP","307",,"Perfect recording of all senses and emotions, retrieval of info can take between 2 and 20 min unless combined with eidectic memory.","Low"
"Gear","Cyberware","Multitasking","EP","307",,"Creates 2 extra forks giving 2 extra complex actions, is not compatable with mental speed augumentation.","High"
"Gear","Cyberware","Puppet Sock","EP","307",,"Makes the morph remote controlable must be used with either a direct comunications link or with a ghostrider module","Moderate"
"Gear","Cyberware","Cyberclaws","EP","307",,"Six inch long retractable claws, cause 1d10+3+ SOM/10 damage and have an AP of 2","Low"
"Gear","Cyberware","Cyberlimb","EP","307",,"Robotic limb, can be concealed and can have hidden compartments","Moderate"
"Gear","Cyberware","Cyberlimb+","EP","308",,"+ 5 SOM per limb, max +10, and can't be hidden","High"
"Gear","Cyberware","Hand Laser","EP","308",,"2d10 damage with AP of 0 battery holds 50 shots","Moderate"
"Gear","Cyberware","Hardened Skeleton","EP","308",,"+5 dur +5 som","High"
"Gear","Cyberware","Oxygen Reserve","EP","308",,"3 hours of oxygen, recharges at a 1:1 rate","Low"
"Gear","Cyberware","Reflex Booster","EP","308",,"+1 speed and +10 REF","Expensive"
"Gear","Cyberware","Gas Jet System","SW","166",,"Allows the Moph to move around in microgravity, it can draw reaction mass from oxygen reserve implant. Freefall +10 bonus auto calculated","Moderate"
"Gear","Nanoware","Implanted Nanotoxin","EP","308",,"An implanted nanobot hive that produces and grants immunity to  that can be deployed via a scratch, saliva, or skin contact.","Special"
"Gear","Nanoware","Medichines","EP","308",,"Morph ignores 1 wound, if it suffers 5 wounds it is placed in medical stasis and distress signals are send out. It allows synthmorphs to heal.","Low"
"Gear","Nanoware","Mental Speed","EP","308",,"Gains 2 extra complex actions and a +30 initative bonus, read at 10x speed and can track bullets with perception not compatable with multitasking.","High"
"Gear","Nanoware","Nanophage","EP","309",,"Immunity to nanodrugs and toxins ","Moderate"
"Gear","Nanoware","Oracle","EP","309",,"+10 to investigation, ignore distraction penalties, and +30 to memory based tests","Moderate"
"Gear","Nanoware","Respirocytes","EP","309",,"Increases morphs ability to hold breath to 4 hours and increased DUR by +5","Moderate"
"Gear","Nanoware","Skillware","EP","309",,"Allows morph to use skillsofts","High"
"Gear","Nanoware","Skinflex","EP","309",,"Can change the morph's facial struicture for a +30 bonus to disguise test, change takes 20 min","Moderate"
"Gear","Nanoware","Skinlink","EP","309",,"Allows the morph to communicate with elextronics by touch","Moderate"
"Gear","Nanoware","Wrist-Mounted Tools","EP","309",,"Mentally controlled tools, gives a +20 modifier to skill tests, can also be used as claws.","Moderate"
"Gear","Nanoware","Gait Masking","PO","149",,"Can be used to mimic an existing gait profile or to obfuscate a morph's current gait; +30 to Disguise Tests to fool biometric scans.","Expensive"
"Gear","Nanoware","Nanotat ID Flux","PO","149",,"This highly illegal system is a programmable version of a nanotat ID. Any new ID may be programmed in 1 Action Turn.","Expensive"
"Gear","Nanoware","Skeletal Disguise","PO","149",,"This implant disguises a morph’s skeletal structure to avoid identification or to mimic an existing pattern. Apply a ?30 to the scanner’s Perception Test.","Expensive"
"Gear","Nanoware","Personal Power Plant","GC",153,,"Morph does not need to eat.","Expensive"
"Gear","Cosmetic Mods","Bodysculpting","EP","309",,"Can include elongated ears or fingers, nose alteration, hair addition/removal, feathers, snakesskin, endowed genitalia and more unusual alterations.","Low"
"Gear","Cosmetic Mods","Nanotats","EP","310",,"Tatoos created with Nanobots that can move around change shape/colour/brightness/texture, and even create holographic text controlled via mesh inserts.","Low"
"Gear","Cosmetic Mods","Piercings","EP","310",,"Hoops, barbells plugs and chains are all common many are made from shapchanging smart materials","Trivial"
"Gear","Cosmetic Mods","Scarification","EP","310",,"Purely an affectation","Trivial"
"Gear","Cosmetic Mods","Scent Alteration","EP","310",,"Alters a Morph's natural smell or provides a constant perfume scent","Low"
"Gear","Cosmetic Mods","Skindyes","EP","310",,"any colour or pattern","Low"
"Gear","Cosmetic Mods","Subdermal Implants","EP","310",,"Can create bumps ridges piercing anchors and similar texture alterations ","Trivial"
"Gear","Robotic Enhancements","Hopper","EP","310",,"Has two or more legs designed to propel a morph forwards or up like a frog or grasshopper","Moderate"
"Gear","Robotic Enhancements","Hovercraft","EP","310",,"Allows the morph to use an impeller to float off of the ground on a cushon of air.","Low"
"Gear","Robotic Enhancements","Ionic","EP","310",,"Allows the morph to use a plasma thruster system, it does not work in vacuum but is avaiable for liquid environments.","High"
"Gear","Robotic Enhancements","Microlight","EP","310",,"Allows the morph to fly.","Low"
"Gear","Robotic Enhancements","Roller","EP","310",,"Allows the morph to roll like a ball","Moderate"
"Gear","Robotic Enhancements","Rotorcraft","EP","310",,"Allows the morph to move and hover like a helicopter.","Low"
"Gear","Robotic Enhancements","Snake","EP","310",,"Allows the morph to use lateral undilation to move.","Moderate"
"Gear","Robotic Enhancements","Submarine","EP","310",,"Allows the Morph to use propellers or water jets to move in a liquid environment.","Moderate"
"Gear","Robotic Enhancements","Tracked","EP","310",,"Allows the Morph to use smart treads to overcome obstacles.","Low"
"Gear","Robotic Enhancements","Thrust Vector","EP","310",,"Allows the Morph to use turobfans ot turbojets to creat lift with a set of wings.","Moderate"
"Gear","Robotic Enhancements","Walker","EP","310",,"Allows the morph to use two or more limbs to walk across a surface.","Low"
"Gear","Robotic Enhancements","Wheeled","EP","310",,"Allows the Morph to use wheeled locomotion.","Low"
"Gear","Robotic Enhancements","Winged","EP","310",,"Allows the Morph to fly like a humming bird through the atmosphere. ","Low"
"Gear","Robotic Enhancements","Extra Limbs","EP","310",,"Represents an extra limb added onto a frame. May be an arm leg or tentacle.","Low"
"Gear","Robotic Enhancements","Fractal Digits","EP","311",,"Morph can interact with objects down to the micrometer scale, when combined with Nanoscopic Vision grants +20 to COO for fine manipulation.","Moderate"
"Gear","Robotic Enhancements","Hidden Compartment","EP","311",,"Causes a -30 modifier to detect the contents or existence of this compartment. ","Low"
"Gear","Robotic Enhancements","Magnetic System","EP","311",,"The Morph recieves a +30 modifier to maintain a hold onto something magnetic.","Low"
"Gear","Robotic Enhancements","Modular Design","EP","311",,"The Morph is designed to lock togeather with similar morphs gaining strength, size and durability.","High"
"Gear","Robotic Enhancements","Pneumatic Limbs","EP","311",,"Gives a +20 to freerunning tests and an extra 1d10 to unarmed attacks, as well as a 2m vertical jump.","Low"
"Gear","Robotic Enhancements","Telescoping Limbs","EP","311",,"The Morph may fully retract or extend its limbs by 2m giving a reach advantage in melee combat.","Low"
"Gear","Robotic Enhancements","Shape Adjusting","EP","311",,"The Morph can change its dimensions and shape as a disguise, +30 modifier, or to assist in a task.","High"
"Gear","Robotic Enhancements","Structural Enhancement","EP","311",,"The Morph has increased durability of 10 and a wound threashold of 2.","Moderate"
"Gear","Robotic Enhancements","Swarm Composition","EP","311",,"The Morph is a swarm of many smaller insect sized robots. Vulnerable to EMP attacks and unable to lift/carry objects.","High"
"Gear","Robotic Enhancements","Synthetic Mask","EP","311",,"The Morph is disguised as a living being, it is able to bleed, cry, spit and even have sex.","Moderate"
"Gear","Robotic Enhancements","Weapon Mount (fixed)","EP","311",,"The Morph carries a built-on weapon. It has a fixed field of fire from its fixed mount.","Low"
"Gear","Robotic Enhancements","Weapon Mount (swiveling)","EP","311",,"The Morph carries a built-on weapon. It has a limited field of fire from its swiveling mount.","Low"
"Gear","Robotic Enhancements","Weapon Mount (concealed)","EP","311",,"The Morph carries a built-in weapon. It has a fixed field of fire because of its concealed mount. It recieves a -30 to Perception Tests to detect.","Moderate"
"Gear","Robotic Enhancements","Weapon Mount (articulated)","EP","311",,"The Morph carries a built-on weapon. It has an limited field of fire from its articulated mount.","Moderate"
"Gear","Robotic Enhancements","360-Degree Vision","EP","311",,"The morph’s visual sensors are situated for a 360-degree field of vision.","Low"
"Gear","Robotic Enhancements","Chemical Sniffer","EP","311",,"This sensor detects molecules in the air and analyzes their chemical composition. Chemistry Tests to detect gases, including toxins, explosives and firearms.","Moderate"
"Gear","Robotic Enhancements","Lidar","EP","311",,"This sensor emits laser light and measures the reflections to judge range, speed, and image the target.","Low"
"Gear","Robotic Enhancements","Nanoscopic Vision","EP","311",,"The Morph’s visual sensors can focus like a microscope to image objects as small as blood cells and nanobots down to a nanometer in size.","Moderate"
"Gear","Robotic Enhancements","Radar System","EP","311",,"This sensor system bounces radio or microwaves off targets and measures the reflected waves to judge size, composition, and motion.","Low"
"Gear","Robotic Enhancements","Invisibility","PO","149",,"Like the invisibility cloak (p. 316, EP). The morph is sealed within a layer of metamaterials  making it invisible from the microwave to the ultraviolet wavelength.","Expensive"
"Gear","Robotic Enhancements","Radar Absorbent","PO","149",,"The Morph is constructed with materials that pass, absorb, or trap radar and terahertz waves. Apply a ?20 modifier to detect the morph.","Moderate"
"Gear","Robotic Enhancements","Reduced Signature","PO","149",,"This morph features a small radar cross-section. For winged, rotor, ionic, or T-V morphs; apply a ?30 to detection tests. For all others -10 is applied.","High"
"Gear","Robotic Enhancements","Radar Invisibility","PO","150",,"This morph is coated with a layer of radar-transparent metamaterials It is effectively invisible to radar waves.","Expensive"
"Gear","Robotic Enhancements","Extreme Heat Shielding","SW","166",,"The Morph can withstand temperatures up too 500 C and receive a 25% boost to DUR, half movement rate and a -10 to COO","Expensive"
"Gear","Robotic Enhancements","Extreme Pressure Adaptation","SW","167",,"The Morph can withstand pressures upto 100 atmospheres and receives a 50% boost to DUR, half movement rate and a -10 to COO","Expensive"
"Gear","Robotic Enhancements","Radiation Shielding","SW","167",,"The Morph is highly resistant to ionizing radation being able to operate freely in areas where other Morphs would be damaged or destroyed.","High"
"Gear","Communications","Fiberoptic Cable","EP","313",,"Used to establish wired connections between devices. Signal may not be intercepted. Used for privacy or in areas of radio interference.","Trivial"
"Gear","Communications","Laser/Microwave Link","EP","314",,"Tight beam LOS communications. Range: 500km in space, 50km in atmosphere, 5km or less to horizon. Personal versions avaliable ","Moderate"
"Gear","Communications","Radio Booster","EP","314",,"Boosts the range of linked short range radios. Range: 250km rural, 25km urban. Easily intercepted.","Low"
"Gear","Communications","Neutrino Transceiver","EP","314",,"Sends and recieves neutrino signals. Range: 100AU (150,000,000,000km). Size: 8 cubic meters not man portable, req. large power plant ","Expensive"
"Gear","Communications","Miniature Radio Farcaster","EP","315",,"May only communicate with other entangled farcasters. Range: unlimited (subject to light speed). Size: small enough to be jewelry","Low"
"Gear","Communications","Portable QE Comm","EP","315",,"Faster than light communicator. May only communicate with other entangled devices. Requires Q-bit reservoir. ","Low"
"Gear","Communications","Low-QBit Reservoir","EP","315",,"Data capacity for 10 hours high resolution audio/video or 100 hours voice/text only. ","High"
"Gear","Communications","High-QBit Reservoir","EP","315",,"Data capacity for 100 hours high resolution audio/video or 1,000 hours of voice/text only.","Expensive"
"Gear","Communications","Mission Recorder","GC",154,,"Mini-sized spime designed to record live XP-cast, or other sensor feeds from gatecrashing teams.","Trivial"
"Gear","Communications","Motes","GC",154,,"Micro-sized computers that come in packages of 500 (or more). They are spread around an area, creating an ad hoc mesh network.","Low"
"Gear","Communications","Sensor Motes","GC",154,,"As ""Motes"" but with sensor input. Cameras are common.","Moderate"
"Gear","Communications","Neutrino Retreat","GC",154,,"Remote backup storage for use with Emergency Farcasters (EP 306). Communicates with up to 10 different emergency farcasters and can store up to 10 egos.","High"
"Gear","Communications","Radio Beacon","GC",154,,"Portable, medium radio transmitter with a 250km range. Can be programmed with message(s) and set to repeat, alternate, or broadcast to a schedule.","Low"
"Gear","Communications","Satnet in a Can","GC",154,,"Large self-launching smart-missile that deploys small orbital satellites. In 1-3 days it provides planetwide gps, surface map, and radio communications. ","High"
"Gear","Communications","Neo-Cetacean Translation Device","PO","150",,"A small dime sized device that translates to an from the Neo-Cetacean language. Has Exotic Laguage: Neo-Cetacean at 50.","Low"
"Gear","Communications","Hypersonic Communicator","PO","150",,"This device allows the user to transmit audio in a beam, so that the directed sound is only audible at the targeted position","Low"
"Gear","Covert and Espionage Technologies","Chameleon Cloak","EP","315",,"Allows effective invisability when a character is stationary. Provides +30 to Infiltration when a character is moving faster than a slow walk. ","Low"
"Gear","Covert and Espionage Technologies","Covert Ops Tool","EP","315",,"Defeats mecanical or electronic locks in 1 Action Turn. Drills small holes ((Dur+Armor)÷10) secs. Cuts 1m hole ((Dur+Armor)÷10 mins.","High"
"Gear","Covert and Espionage Technologies","Cuffband","EP","316",,"Electronically controlled smart plastic restraints. May include a shock feature (as shock baton EP p. 334)","Low"
"Gear","Covert and Espionage Technologies","Dazzler","EP","316",,"Laser emiter detects and dazzles camera systems. Range: 200m within Line of Sight. ","Moderate"
"Gear","Covert and Espionage Technologies","Disabler","EP","316",,"Incapacitates morphs with cyberbrains when plugged into access jacks. Unwilling targets must be grappled or the subject of a called shot.","High"
"Gear","Covert and Espionage Technologies","Fibereye","EP","316",,"Flexible length of fiberoptic cable with a camera can be worked through small spaces for clandestine peeping.","Low"
"Gear","Covert and Espionage Technologies","Invisibility Cloak","EP","316",,"Metamaterial cloak bends light making the wearer invisible. Requires external sensors or anti-cloak window to see out.","High"
"Gear","Covert and Espionage Technologies","Microbug","EP","316",,"1mm camera/mic./tracker. Audio/visual range 20 meters. Can record 100 hours of data. Can broadcast continuously or in bursts.","Trivial"
"Gear","Covert and Espionage Technologies","Quantum Microbug","EP","316",,"1cm camera/mic./tracker. Audio/visual range 20 meters. Can record 100 hours of data. Broadcasts cannot be detected or blocked.","Low"
"Gear","Covert and Espionage Technologies","Prisoner Mask","EP","316",,"Prisoner hood blocks all visual frequencies and jams all wireless communication from mesh inserts.","Moderate"
"Gear","Covert and Espionage Technologies","Psi Jammer","EP","316",,"Jams brainwave frequencies preventing use of ranged psi sleights. Range: 20m","Moderate"
"Gear","Covert and Espionage Technologies","Quantum Computer","EP","316",,"Quantum computation computer useful for code breaking. (see EP p. 254)","Expensive"
"Gear","Covert and Espionage Technologies","Smart Dust","EP","316",,"A packet of nanobots that can cover the surfaces of a large room in 20 minutes. Provides detailed audio/visual/chemical data even DNA","Moderate"
"Gear","Covert and Espionage Technologies","Traction Pads","EP","317",,"+30 Climbing tests. Gecko material gloves shoes and kneepads allows a character to climb any surface that can support their weight.","Low"
"Gear","Covert and Espionage Technologies","White Noise Machine","EP","317",,"Masks sounds and conversations from being recorder or overheard by anyone not in the immediate vicinity.","Trivial"
"Gear","Covert and Espionage Technologies","X-Ray Emitter","EP","317",,"Used with Enhanced Vision or Specs it allows x-ray vision through most objects including metal.","Low"
"Gear","Covert and Espionage Technologies","Acoustic Spotter","PO","150",,"This portable sensor system detects the audio signature of kinetic weapons fire and attempts to focus the camera and rangefinder on the source.","Moderate"
"Gear","Covert and Espionage Technologies","DNA Chaff","PO","150",,"This device similar to a splash grenade contains a mass of biological debris from a thousand morphs. It is used to contaminat an area for DNA evidence.","Moderate"
"Gear","Covert and Espionage Technologies","Graybox","PO","150",,"This micro device is a simple self powered wireless interface. When attached to an existing device, it allows that device to be interfaced via a wireless connection.","Moderate"
"Gear","Covert and Espionage Technologies","Lens Crazer","PO","151",,"A more offensive version of the dazzler this device attempts to ruin camera optic systems. It takes one Action Turn to detect lenses, then begins zapping them.","High"
"Gear","Covert and Espionage Technologies","Lens Spotter","PO","151",,"A less intrusive version of the dazzler this device maps out the camera lenses in an area, without dazzling or blasting them with lasers. It is also used by security forces to detect snipers or spotters before they attack.","Low"
"Gear","Covert and Espionage Technologies","Privacy Pod","PO","151",,"A portable self-assembling tent-like structure that is a soundproofed Faraday cage, featuring a guardian nanoswarm, an airlock with a built-in bug zapper.","High"
"Gear","Covert and Espionage Technologies","Radar Cloak","PO","151",,"This cloak works like the invisibility cloak except that it bends radar frequencies and makes the wearer invisible to radar sensors.","High"
"Gear","Covert and Espionage Technologies","Shroud","PO","151",,"This device is a whole-body smart-fabric covering, similar to a burkha, designed to provide as much anonymity as possible to the wearer. ","High"
"Gear","Conventional Drugs","Drive","EP","318",,"+5 COG, improves concentration and idea production, no usual side effects. Oral, 20min, 8hrs, mental","Low"
"Gear","Conventional Drugs","Klar","EP","318",,"+5 INT, boosts alertness clarity and perception, users report feelings of elevated consciousness. Oral, 20min, 8hrs, mental","Low"
"Gear","Conventional Drugs","Neem","EP","318",,"+20 to COG tests for memories while on drug. Inhibits emotional associations to influenced memories. Oral, 20min, 12 hrs, mental","Moderate"
"Gear","Conventional Drugs","BringIt","EP","319",,"-20 Social tests. Causes opponents within 3m to pass a WILx3 test or attack. Inh/inj/oral, 1min, 15min, +10phys.","Low"
"Gear","Conventional Drugs","Grin","EP","319",,"Ignore 2 wound modifiers, -10 Perception, user suffers tunnel vision, may not be aware of wound. Inh/inj/oral, 3Turns, 3hrs, -10phys.","Low"
"Gear","Conventional Drugs","Kick","EP","319",,"+10 REF, +1 SPD, Users are jumpy and my have to pass WILx2 or react without thinking, Inh/Inj/oral, 3Turns, 2hrs, -10phys.","Moderate"
"Gear","Conventional Drugs","MRDR","EP","319",,"+10 SOM, +1 SPD, +10 DUR, Ignore 1 wound modifier, Long-term users suffer -5 SOM, Oral, 20min, 1hr, -10phys.","Low"
"Gear","Conventional Drugs","Phlo","EP","319",,"+5 COO, +10 Perception, Characters are overconfident, and easily goaded, Oral, 20min, 1hr, -10phys.","Moderate"
"Gear","Conventional Drugs","Bananas Furiosas","EP","319",,"Reduce the severity of radiation damage, (game master determines the effect) Oral, 20min, 1day","Low"
"Gear","Conventional Drugs","Comfurt","EP","320",,"+5 LUC, Ignore 1 trauma modifier, +10 to resist emotional manipulation, Oral, 20min, 12hrs, -10mental","Low"
"Gear","Conventional Drugs","Buzz","EP","320",,"Hallucinogen, -30 to tests of memory while under the influence. Inh/oral, 1hr, 36hrs, mental","Moderate"
"Gear","Conventional Drugs","Mono No Aware","EP","320",,"Depressant, Induces meditation, +10 on Art and Sense tests. Frequent use turns user blue. Oral 20min, 8hrs, -10mental","Low"
"Gear","Conventional Drugs","Orbital Hash","EP","320",,"User ignores 1 trauma modifier, +10 to all memory and knowledge skill tests, User is lethargic. Inh, 3min, 3hrs, mental","Low"
"Gear","Conventional Drugs","Alpha","EP","320",,"+20 Intimidation, +10 on Persuasion and Networking, -10 COG memory tests, User is insufferable ass. Inh, 1min, 2hrs, -10mental","High"
"Gear","Conventional Drugs","Hither","EP","321",,"+10 Persuasion tests for seduction, stimulates abundant lust hormones. Dermal, 1min, 6hrs, -10mental","Low"
"Gear","Conventional Drugs","Juice","EP","321",,"+30 vs. Fear or emotional manipulation. Potent anti-depressant makes user unnaturally happy, silly. Oral/inh, 20min, 8hrs, mental","Low"
"Gear","Conventional Drugs","Hydra","PO","151",,"This drug only affects neo-octopi physiology it provides a euphoric sense of detachment to the ego while also boosting the autonomous activity of neo-octopi arms.","Low"
"Gear","Conventional Drugs","Kong","PO","151",,"This drug only affects non-human primates. Ignore 1 wound, +5 SOM, +10 melee attacks, -5 INT and WILx3 Test to avoid automatically attacking. ","Low"
"Gear","Conventional Drugs","Raptor","PO","152",,"This drug only affects neo-avians. It increases their wing power and strength of their talkons. +5 SOM, +20 to Flight Tests to increase movement. ","Low"
"Gear","Conventional Drugs","Staste","PO","152",,"This drug only affects neo-octopi it grants an increased ability to ""taste"" things it grants a +30 to Perception or Investigation tests based on smell.","Low"
"Gear","Nanodrugs","Frequency","EP","321",,"Halucinogen, may provide electrical sense, Inj/Oral, 8hrs, -10mental.","Moderate"
"Gear","Nanodrugs","Gravy","EP","321",,"Reduce penalties for higher gravity acclimation by 20 when taken in advance. Inj,Oral, Special.","Low"
"Gear","Nanodrugs","Schizo","EP","321",,"1d10 Mental stress, induces temporary paranoid schizophrenia. Inj, 1day, Mental","Low"
"Gear","Nanodrugs","Petals (Trivial)","EP","322",,"Nano-guided-halucinogen, subject may incur 1d10 SV from a bad trip. Oral, 2hours to 1day, +10 to -20 mental. ","Trivial"
