"cat","type","name","book","page","desc","sum","cost","skill","damage","dmod","ap","hands","size"
"Melee Weapon","Unarmed Combat","Densiplast Gloves","EP",334,"These gloves extra-harden when activated, for extra punch.","These gloves extra-harden when activated, for extra punch.","Trivial","Unarmed Combat",1,2,0,2,"small"
"Melee Weapon","Unarmed Combat","Shock Gloves","EP",334,"When activated, these gloves deliver an incapacitating shock along with every punch or grab. Note that the effect is the same whether wearing one glove or two. ","When activated, these gloves deliver an incapacitating shock along with every punch or grab. Note that the effect is the same whether wearing one glove or two. ","Low","Unarmed Combat",1,0,0,1,"small"
"Melee Weapon","Unarmed Combat","Claws","EP",304,"The morph has retractable claws like those of a cat. These claws do not interfere with the character’s manual dexterity and are razor sharp. However, they are relatively small and only do 1d10 + 1 + (SOM ÷ 10) damage, with an AP of –1. As a result, they are legal in almost all habitats and are considered tools as much as weapons.","Retractable cat-like claws. Do 1d10 + 1 + (SOM ÷ 10) damage, with an AP of –1. Legal in almost all habitats and are considered tools as much as weapons.",,"Unarmed Combat",1,1,-1,,
"Melee Weapon","Unarmed Combat","Digging Claws","GC",154,"Adapted from the genetics of hole-digging creatures like moles and aardvarks, digging claws are lengthier, sturdier hands with hardy claws for loosening ground, cutting through hard surfaces, and shoveling dirt aside. Despite these changes, digging claws are still capable of grasping and fine manipulation like regular human hands. They can also be wielded offensively with Unarmed Combat skill, inflicting 1d10 + 2 + (SOM ÷ 10) DV with an AP of –1."," Lengthier, sturdier hands with digging claws which can cause damage of 1d10 + 2 + (SOM ÷ 10) DV with an AP of –1",,"Unarmed Combat",1,2,-1,,
"Melee Weapon","Unarmed Combat","Cyberclaws","EP",307,"The bones on the back of the morph’s hand are bonded to smart material claws. These claws can extend through concealed ports in the morph’s skin and extend 6 inches past the morph’s knuckles. These razor-sharp weapons inflict 1d10 + 3 + (SOM ÷ 10) damage and have an AP of –2. If combined with eelware (p. 304), they can also inflict electric shocks. Likewise, cyberclaws can also deliver poison or nanotoxins secreted from a poison gland (p. 305) or implanted nanotoxins.","Bones on the back of the hand have hidden, extendable 6-inch claws dealing 1d10 + 3 + (SOM ÷ 10) damage with AP of –2. Can combine with eelware, poison gland or nanotoxins.",,"Unarmed Combat",1,3,-2,,
"Melee Weapon","Unarmed Combat","Unarmed","EP",335,"When attacking someone with fists, feet, elbows, knees, or other body parts in melee combat.","When attacking someone with fists, feet, elbows, knees, or other body parts in melee combat.",,"Unarmed Combat",1,0,0,,
"Melee Weapon","Unarmed Combat","Beak-Claw","EP",335,"Biomorph Beak or Claw attack","Biomorph Beak or Claw attack",,"Unarmed Combat",1,0,0,,
"Melee Weapon","Unarmed Combat","Novacrab Claw","EP",142,"Novacrabs have ten 2-meter long legs, massive claws, and chitinous armor.","Novacrabs have ten 2-meter long legs, massive claws, and chitinous armor.",,"Unarmed Combat",2,0,0,,
"Melee Weapon","Unarmed Combat","Q-Morph Claw","SW",163,"Q-morphs look like four-legged crabs with two pairs of arms. The lower pair of arms is designed for strength, the upper pair for precision and dexterity.","Q-morphs look like four-legged crabs with two pairs of arms. The lower pair of arms is designed for strength, the upper pair for precision and dexterity.",,"Unarmed Combat",2,0,0,,
"Melee Weapon","Unarmed Combat","Octomorph Beak","EP",339,"Octomorph beak bite attack","Octomorph beak bite attack",,"Unarmed Combat",1,0,0,,
